Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,66.9 °F,  -,61.0 °F,81%,30.14 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,66.0 °F,  -,61.0 °F,84%,30.13 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,64.9 °F,  -,62.1 °F,90%,30.11 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,64.9 °F,  -,61.0 °F,87%,30.12 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,66.0 °F,  -,55.9 °F,70%,30.12 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,64.9 °F,  -,55.9 °F,73%,30.12 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,63.0 °F,  -,55.9 °F,78%,30.14 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,69.1 °F,  -,53.1 °F,57%,30.14 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,72.0 °F,  -,52.0 °F,49%,30.17 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,75.9 °F,  -,51.1 °F,42%,30.16 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,78.1 °F,  -,53.1 °F,42%,30.16 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,79.0 °F,  -,55.0 °F,44%,30.16 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,81.0 °F,80.7 °F,55.0 °F,41%,30.15 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,82.0 °F,81.6 °F,55.9 °F,41%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 PM,82.9 °F,82.4 °F,57.0 °F,41%,30.10 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,84.9 °F,83.2 °F,53.1 °F,33%,30.09 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,84.9 °F,  -,48.9 °F,29%,30.06 in,10.0 mi,North,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
5:52 PM,84.0 °F,82.6 °F,54.0 °F,35%,30.04 in,10.0 mi,NNW,9.2 mph,18.4 mph,N/A,	 ,Mostly Cloudy
6:52 PM,82.9 °F,82.1 °F,55.9 °F,39%,30.03 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,81.0 °F,80.5 °F,54.0 °F,39%,30.04 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,78.1 °F,  -,55.9 °F,46%,30.05 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,77.0 °F,  -,57.0 °F,50%,30.06 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,77.0 °F,  -,55.9 °F,48%,30.07 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,75.9 °F,  -,55.9 °F,50%,30.07 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Partly Cloudy
