Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.0 °F,  -,70.0 °F,90%,30.11 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,73.0 °F,  -,70.0 °F,90%,30.10 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,72.0 °F,  -,69.1 °F,91%,30.09 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,73.0 °F,  -,69.1 °F,87%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:52 AM,73.0 °F,  -,69.1 °F,87%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,72.0 °F,  -,69.1 °F,91%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:41 AM,72.0 °F,  -,69.1 °F,91%,30.17 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,72.0 °F,  -,69.1 °F,91%,30.15 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:22 AM,72.0 °F,  -,70.0 °F,93%,30.18 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:50 AM,73.4 °F,  -,69.8 °F,88%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,73.0 °F,  -,70.0 °F,90%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:08 AM,73.9 °F,  -,70.0 °F,87%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:52 AM,78.1 °F,  -,72.0 °F,81%,30.17 in,9.0 mi,WSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,80.1 °F,84.5 °F,73.9 °F,81%,30.18 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:54 AM,80.1 °F,84.5 °F,73.9 °F,81%,30.21 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,82.0 °F,86.7 °F,72.0 °F,71%,30.18 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,84.9 °F,90.1 °F,71.1 °F,63%,30.18 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,86.0 °F,90.7 °F,70.0 °F,59%,30.17 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,30.16 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,30.14 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,89.1 °F,93.7 °F,69.1 °F,52%,30.12 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,89.1 °F,93.7 °F,69.1 °F,52%,30.11 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,89.1 °F,92.9 °F,68.0 °F,50%,30.10 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,30.09 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,86.0 °F,90.7 °F,70.0 °F,59%,30.10 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,82.9 °F,86.5 °F,69.1 °F,63%,30.11 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,81.0 °F,84.1 °F,69.1 °F,67%,30.12 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,80.1 °F,82.9 °F,69.1 °F,69%,30.15 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,79.0 °F,  -,69.1 °F,72%,30.16 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
