Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,80.1 °F,84.5 °F,73.9 °F,81%,30.03 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,79.0 °F,  -,73.9 °F,84%,30.01 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,78.1 °F,  -,73.9 °F,87%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,77.0 °F,  -,73.9 °F,90%,29.99 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,77.0 °F,  -,73.0 °F,88%,29.99 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,77.0 °F,  -,73.0 °F,88%,29.99 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,77.0 °F,  -,73.0 °F,88%,30.01 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,78.1 °F,  -,73.9 °F,87%,30.03 in,9.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,80.1 °F,84.5 °F,73.9 °F,81%,30.05 in,9.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,84.0 °F,90.2 °F,73.0 °F,69%,30.05 in,9.0 mi,WNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,86.0 °F,93.0 °F,73.0 °F,65%,30.04 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,89.1 °F,96.0 °F,72.0 °F,57%,30.04 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,90.0 °F,96.9 °F,72.0 °F,55%,30.04 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,91.0 °F,97.6 °F,71.1 °F,52%,30.02 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,91.0 °F,96.6 °F,70.0 °F,50%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 PM,91.0 °F,97.6 °F,71.1 °F,52%,29.97 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,91.0 °F,96.6 °F,70.0 °F,50%,29.96 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,91.0 °F,96.6 °F,70.0 °F,50%,29.96 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,90.0 °F,96.9 °F,72.0 °F,55%,29.95 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,90.0 °F,96.4 °F,71.1 °F,54%,29.97 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,88.0 °F,93.8 °F,71.1 °F,57%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,88.0 °F,93.8 °F,71.1 °F,57%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:52 PM,82.0 °F,87.4 °F,73.0 °F,74%,30.01 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,80.1 °F,83.8 °F,72.0 °F,76%,30.01 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
