Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,80.1 °F,82.9 °F,69.1 °F,69%,30.11 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,79.0 °F,  -,69.1 °F,72%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,79.0 °F,  -,69.1 °F,72%,30.12 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,77.0 °F,  -,70.0 °F,79%,30.12 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,77.0 °F,  -,70.0 °F,79%,30.12 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,75.9 °F,  -,70.0 °F,82%,30.13 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,75.9 °F,  -,70.0 °F,82%,30.14 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,77.0 °F,  -,71.1 °F,82%,30.15 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,80.1 °F,83.8 °F,72.0 °F,76%,30.17 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,84.0 °F,89.6 °F,72.0 °F,67%,30.17 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,87.1 °F,92.8 °F,71.1 °F,59%,30.18 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,89.1 °F,94.1 °F,70.0 °F,53%,30.17 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,89.1 °F,94.1 °F,70.0 °F,53%,30.17 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,90.0 °F,94.5 °F,69.1 °F,50%,30.16 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,30.14 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,90.0 °F,94.5 °F,69.1 °F,50%,30.12 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,91.0 °F,95.6 °F,69.1 °F,48%,30.11 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,90.0 °F,94.5 °F,69.1 °F,50%,30.12 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,89.1 °F,92.1 °F,66.9 °F,48%,30.11 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,30.11 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,84.9 °F,88.8 °F,69.1 °F,59%,30.12 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,84.0 °F,88.4 °F,70.0 °F,63%,30.14 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,82.0 °F,86.3 °F,71.1 °F,69%,30.15 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,80.1 °F,83.6 °F,71.1 °F,74%,30.15 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Partly Cloudy
