Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,78.1 °F,  -,71.1 °F,79%,30.16 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,75.9 °F,  -,71.1 °F,85%,30.14 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,75.0 °F,  -,71.1 °F,87%,30.12 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,75.0 °F,  -,71.1 °F,87%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,75.0 °F,  -,71.1 °F,87%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,73.9 °F,  -,71.1 °F,91%,30.08 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
6:52 AM,73.9 °F,  -,71.1 °F,91%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
7:52 AM,75.0 °F,  -,72.0 °F,90%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:52 AM,78.1 °F,  -,73.0 °F,84%,30.11 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:52 AM,82.0 °F,87.4 °F,73.0 °F,74%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:52 AM,84.9 °F,91.4 °F,73.0 °F,67%,30.12 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,86.0 °F,90.7 °F,70.0 °F,59%,30.11 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,87.1 °F,91.3 °F,69.1 °F,55%,30.10 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,91.0 °F,95.2 °F,68.0 °F,47%,30.08 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,91.9 °F,95.9 °F,68.0 °F,45%,30.04 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,91.0 °F,93.8 °F,66.0 °F,44%,30.02 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,91.9 °F,95.4 °F,66.9 °F,44%,29.99 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.0 °F,94.3 °F,66.9 °F,45%,29.99 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,90.0 °F,93.6 °F,68.0 °F,48%,29.97 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,29.98 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,82.9 °F,88.0 °F,72.0 °F,69%,29.98 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,81.0 °F,85.8 °F,73.0 °F,77%,29.99 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,80.1 °F,84.2 °F,73.0 °F,79%,29.99 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,80.1 °F,83.8 °F,72.0 °F,76%,29.99 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
