Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,66.0 °F,51.1 °F,59%,30.16 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Clear
1:52 AM,64.9 °F,51.1 °F,61%,30.16 in,10.0 mi,ENE,18.4 mph,  -,N/A,	 ,Clear
2:52 AM,64.0 °F,50.0 °F,60%,30.16 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Clear
3:52 AM,63.0 °F,50.0 °F,63%,30.16 in,10.0 mi,ENE,16.1 mph,  -,N/A,	 ,Clear
4:52 AM,63.0 °F,51.1 °F,65%,30.16 in,10.0 mi,ENE,19.6 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,62.1 °F,51.1 °F,67%,30.17 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,61.0 °F,51.1 °F,70%,30.19 in,10.0 mi,ENE,19.6 mph,25.3 mph,N/A,	 ,Partly Cloudy
7:52 AM,61.0 °F,51.1 °F,70%,30.21 in,10.0 mi,ENE,20.7 mph,25.3 mph,N/A,	 ,Partly Cloudy
8:52 AM,62.1 °F,51.1 °F,67%,30.23 in,10.0 mi,ENE,18.4 mph,27.6 mph,N/A,	 ,Partly Cloudy
9:52 AM,66.0 °F,48.9 °F,54%,30.23 in,10.0 mi,ENE,23.0 mph,33.4 mph,N/A,	 ,Partly Cloudy
10:52 AM,68.0 °F,46.0 °F,45%,30.24 in,10.0 mi,ENE,28.8 mph,35.7 mph,N/A,	 ,Scattered Clouds
11:52 AM,71.1 °F,45.0 °F,39%,30.23 in,10.0 mi,East,24.2 mph,34.5 mph,N/A,	 ,Scattered Clouds
12:52 PM,69.1 °F,46.0 °F,44%,30.22 in,10.0 mi,ENE,24.2 mph,33.4 mph,N/A,	 ,Mostly Cloudy
1:52 PM,72.0 °F,45.0 °F,38%,30.21 in,10.0 mi,ENE,19.6 mph,31.1 mph,N/A,	 ,Mostly Cloudy
2:52 PM,70.0 °F,44.1 °F,39%,30.19 in,10.0 mi,ENE,19.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,68.0 °F,45.0 °F,43%,30.19 in,10.0 mi,NE,19.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,66.9 °F,45.0 °F,45%,30.18 in,10.0 mi,NE,19.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,66.0 °F,46.0 °F,48%,30.17 in,10.0 mi,NE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,66.0 °F,46.0 °F,48%,30.17 in,10.0 mi,NE,18.4 mph,  -,N/A,	 ,Overcast
7:52 PM,64.9 °F,46.0 °F,50%,30.15 in,10.0 mi,NE,19.6 mph,25.3 mph,N/A,	 ,Overcast
8:52 PM,64.0 °F,46.9 °F,54%,30.14 in,10.0 mi,ENE,20.7 mph,  -,N/A,	 ,Overcast
9:52 PM,64.0 °F,46.9 °F,54%,30.14 in,10.0 mi,ENE,23.0 mph,28.8 mph,N/A,	 ,Overcast
10:52 PM,64.0 °F,46.9 °F,54%,30.13 in,10.0 mi,ENE,25.3 mph,28.8 mph,N/A,	 ,Overcast
11:52 PM,64.0 °F,48.0 °F,56%,30.12 in,10.0 mi,ENE,19.6 mph,28.8 mph,N/A,	 ,Overcast
