Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,30.0 °F,21.1 °F,24.1 °F,79%,30.39 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
1:53 AM,28.9 °F,19.8 °F,23.0 °F,78%,30.38 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
2:53 AM,28.9 °F,20.4 °F,21.9 °F,75%,30.37 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
3:53 AM,28.9 °F,20.4 °F,21.9 °F,75%,30.35 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
4:53 AM,28.9 °F,18.6 °F,21.9 °F,75%,30.35 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
5:53 AM,30.0 °F,21.1 °F,21.9 °F,72%,30.35 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
6:53 AM,30.0 °F,20.5 °F,21.9 °F,72%,30.37 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Clear
7:53 AM,33.1 °F,23.4 °F,23.0 °F,66%,30.35 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,35.1 °F,25.9 °F,25.0 °F,67%,30.36 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,39.9 °F,32.5 °F,28.0 °F,63%,30.33 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,45.0 °F,40.1 °F,28.0 °F,52%,30.31 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:35 PM,51.1 °F,  -,27.0 °F,39%,30.29 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,52.0 °F,  -,27.0 °F,38%,30.25 in,10.0 mi,SE,9.2 mph,17.3 mph,N/A,	 ,Scattered Clouds
1:53 PM,53.1 °F,  -,23.0 °F,31%,30.20 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,57.0 °F,  -,24.1 °F,28%,30.16 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,59.0 °F,  -,26.1 °F,28%,30.13 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Clear
4:53 PM,57.9 °F,  -,28.0 °F,32%,30.10 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
5:53 PM,54.0 °F,  -,30.9 °F,41%,30.10 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Clear
6:53 PM,46.0 °F,42.5 °F,32.0 °F,58%,30.13 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
7:53 PM,44.1 °F,37.4 °F,34.0 °F,68%,30.12 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Clear
8:53 PM,43.0 °F,36.4 °F,33.1 °F,68%,30.11 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
9:53 PM,45.0 °F,38.9 °F,30.9 °F,58%,30.10 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
10:53 PM,43.0 °F,36.4 °F,30.9 °F,62%,30.07 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
11:53 PM,43.0 °F,37.7 °F,28.9 °F,58%,30.05 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
