Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,42.1 °F,35.2 °F,28.9 °F,60%,30.01 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
1:53 AM,42.1 °F,35.2 °F,28.9 °F,60%,29.99 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
2:53 AM,37.0 °F,30.4 °F,28.9 °F,73%,29.97 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
3:53 AM,37.9 °F,32.7 °F,28.9 °F,70%,29.94 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
4:53 AM,37.0 °F,32.4 °F,28.0 °F,70%,29.93 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
5:53 AM,36.0 °F,28.5 °F,27.0 °F,70%,29.95 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
6:53 AM,33.1 °F,30.0 °F,26.1 °F,75%,29.99 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,39.0 °F,  -,28.9 °F,67%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:53 AM,48.0 °F,  -,32.0 °F,54%,29.96 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,53.1 °F,  -,30.0 °F,41%,29.94 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,59.0 °F,  -,30.9 °F,35%,29.92 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,63.0 °F,  -,34.0 °F,34%,29.89 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,64.0 °F,  -,28.9 °F,27%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:53 PM,69.1 °F,  -,33.1 °F,26%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:53 PM,69.1 °F,  -,36.0 °F,30%,29.83 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,70.0 °F,  -,37.0 °F,30%,29.82 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,64.0 °F,  -,35.1 °F,34%,29.83 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,64.0 °F,  -,37.0 °F,37%,29.83 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,55.9 °F,  -,34.0 °F,44%,29.87 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,55.0 °F,  -,34.0 °F,45%,29.86 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,52.0 °F,  -,36.0 °F,54%,29.84 in,7.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,48.9 °F,  -,37.0 °F,64%,29.85 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,48.0 °F,  -,37.0 °F,66%,29.82 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,46.9 °F,  -,37.0 °F,68%,29.82 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
