Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,42.1 °F,37.1 °F,19.9 °F,41%,30.11 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1:53 AM,43.0 °F,37.2 °F,19.0 °F,38%,30.11 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
2:53 AM,42.1 °F,36.1 °F,19.0 °F,40%,30.10 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
3:53 AM,45.0 °F,39.7 °F,16.0 °F,31%,30.08 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
4:53 AM,48.0 °F,  -,12.0 °F,24%,30.07 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Clear
5:53 AM,48.9 °F,  -,9.0 °F,20%,30.10 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Clear
6:53 AM,45.0 °F,39.3 °F,10.9 °F,25%,30.12 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,46.0 °F,39.9 °F,12.9 °F,26%,30.11 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,55.0 °F,  -,12.9 °F,19%,30.15 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,62.1 °F,  -,15.1 °F,16%,30.11 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,68.0 °F,  -,14.0 °F,12%,30.09 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,71.1 °F,  -,7.0 °F,8%,30.05 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,73.9 °F,  -,7.0 °F,8%,30.04 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,75.0 °F,  -,9.0 °F,8%,29.99 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,75.9 °F,  -,9.0 °F,8%,29.97 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,75.9 °F,  -,12.9 °F,9%,29.94 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,73.9 °F,  -,12.0 °F,9%,29.93 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,70.0 °F,  -,19.9 °F,15%,29.93 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,62.1 °F,  -,16.0 °F,17%,29.98 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,57.0 °F,  -,16.0 °F,20%,30.00 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,57.9 °F,  -,15.1 °F,19%,29.96 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,53.1 °F,  -,18.0 °F,25%,29.95 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,53.1 °F,  -,19.0 °F,26%,29.92 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,55.0 °F,  -,18.0 °F,23%,29.89 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
