Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,39.0 °F,34.0 °F,14.0 °F,36%,30.16 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
1:53 AM,39.0 °F,34.0 °F,16.0 °F,39%,30.14 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
2:53 AM,39.0 °F,34.0 °F,17.1 °F,41%,30.14 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
3:53 AM,39.0 °F,34.0 °F,18.0 °F,43%,30.12 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
4:53 AM,39.0 °F,33.4 °F,18.0 °F,43%,30.12 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Overcast
5:53 AM,39.9 °F,35.8 °F,18.0 °F,41%,30.12 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
6:53 AM,41.0 °F,36.4 °F,18.0 °F,40%,30.11 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,41.0 °F,36.4 °F,19.9 °F,43%,30.13 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,43.0 °F,38.8 °F,21.0 °F,42%,30.13 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,46.0 °F,41.9 °F,23.0 °F,40%,30.11 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,48.9 °F,  -,25.0 °F,39%,30.08 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,52.0 °F,  -,27.0 °F,38%,30.06 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,53.1 °F,  -,28.0 °F,38%,30.04 in,10.0 mi,NW,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
1:53 PM,55.0 °F,  -,28.9 °F,37%,30.00 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,55.9 °F,  -,30.0 °F,37%,29.98 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,55.9 °F,  -,28.9 °F,36%,29.97 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,57.9 °F,  -,28.9 °F,33%,29.96 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,53.1 °F,  -,30.0 °F,41%,29.99 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,51.1 °F,  -,28.9 °F,43%,29.99 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,46.9 °F,  -,28.9 °F,50%,29.99 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
8:53 PM,48.0 °F,  -,28.9 °F,48%,29.98 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
9:53 PM,45.0 °F,39.7 °F,28.9 °F,53%,29.98 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
10:53 PM,44.1 °F,37.7 °F,28.9 °F,55%,29.96 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
11:53 PM,43.0 °F,36.4 °F,28.0 °F,56%,29.94 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
