Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,30.0 °F,  -,25.0 °F,82%,30.02 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Haze
1:53 AM,28.0 °F,  -,24.1 °F,85%,30.02 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:53 AM,28.0 °F,24.2 °F,23.0 °F,81%,30.03 in,5.0 mi,South,3.5 mph,  -,N/A,	 ,Haze
3:53 AM,26.1 °F,19.4 °F,21.9 °F,84%,30.03 in,5.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,25.0 °F,17.1 °F,21.0 °F,85%,30.06 in,5.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,25.0 °F,18.1 °F,21.0 °F,85%,30.06 in,5.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,26.1 °F,19.4 °F,21.9 °F,84%,30.06 in,4.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,28.9 °F,23.9 °F,24.1 °F,82%,30.07 in,4.0 mi,Variable,4.6 mph,  -,N/A,	 ,Haze
8:53 AM,37.0 °F,33.3 °F,28.9 °F,73%,30.04 in,4.0 mi,Variable,4.6 mph,  -,N/A,	 ,Haze
9:53 AM,43.0 °F,  -,30.0 °F,60%,30.00 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Haze
10:53 AM,48.9 °F,  -,28.9 °F,46%,29.94 in,9.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,53.1 °F,  -,28.9 °F,40%,29.88 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,55.9 °F,  -,28.9 °F,36%,29.85 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,59.0 °F,  -,28.9 °F,32%,29.82 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,59.0 °F,  -,28.9 °F,32%,29.82 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:04 PM,57.9 °F,  -,28.9 °F,33%,29.89 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,54.0 °F,  -,28.9 °F,38%,29.86 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,46.9 °F,  -,28.9 °F,50%,29.90 in,9.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,41.0 °F,36.4 °F,28.9 °F,62%,29.94 in,9.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,37.0 °F,31.6 °F,28.9 °F,73%,29.97 in,8.0 mi,North,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,37.0 °F,31.6 °F,28.9 °F,73%,29.95 in,7.0 mi,NNE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,37.0 °F,  -,28.9 °F,73%,29.92 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:53 PM,34.0 °F,  -,27.0 °F,75%,29.91 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 PM,36.0 °F,  -,28.0 °F,73%,29.88 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,32.0 °F,23.0 °F,27.0 °F,82%,29.88 in,6.0 mi,WSW,11.5 mph,  -,N/A,	 ,Haze
