Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,30.9 °F,22.2 °F,16.0 °F,54%,30.20 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
1:53 AM,25.0 °F,15.5 °F,15.1 °F,66%,30.21 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
2:53 AM,28.9 °F,23.9 °F,14.0 °F,54%,30.19 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
3:53 AM,26.1 °F,21.9 °F,14.0 °F,60%,30.19 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,28.0 °F,20.8 °F,12.9 °F,53%,30.21 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,26.1 °F,17.6 °F,15.1 °F,63%,30.21 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,36.0 °F,27.5 °F,12.9 °F,39%,30.17 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,37.9 °F,28.9 °F,15.1 °F,39%,30.15 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,41.0 °F,34.7 °F,15.1 °F,35%,30.13 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,43.0 °F,38.8 °F,21.0 °F,42%,30.13 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,54.0 °F,  -,14.0 °F,21%,30.06 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,57.9 °F,  -,9.0 °F,14%,29.99 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,60.1 °F,  -,3.9 °F,11%,29.96 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,60.1 °F,  -,3.0 °F,10%,29.96 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:24 PM,57.9 °F,  -,3.9 °F,11%,30.01 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,57.0 °F,  -,7.0 °F,14%,29.96 in,10.0 mi,WNW,13.8 mph,18.4 mph,N/A,	 ,Mostly Cloudy
3:53 PM,53.1 °F,  -,10.0 °F,18%,29.97 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,53.1 °F,  -,3.0 °F,13%,29.94 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,52.0 °F,  -,3.0 °F,14%,29.96 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,51.1 °F,  -,1.0 °F,13%,29.91 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,46.9 °F,  -,9.0 °F,21%,29.91 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,46.0 °F,43.9 °F,8.1 °F,21%,29.90 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,35.1 °F,25.9 °F,14.0 °F,42%,29.93 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,44.1 °F,37.1 °F,6.1 °F,21%,29.85 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,39.0 °F,30.6 °F,8.1 °F,28%,29.83 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Clear
