Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,39.0 °F,31.0 °F,7.0 °F,27%,29.80 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,43.0 °F,35.4 °F,3.9 °F,20%,29.76 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,43.0 °F,36.0 °F,3.9 °F,20%,29.77 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,41.0 °F,34.7 °F,5.0 °F,23%,29.78 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,41.0 °F,35.8 °F,5.0 °F,23%,29.77 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,39.0 °F,35.7 °F,5.0 °F,24%,29.78 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,43.0 °F,41.3 °F,3.9 °F,20%,29.76 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,48.0 °F,  -,3.0 °F,16%,29.74 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,48.9 °F,  -,8.1 °F,19%,29.74 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,55.9 °F,  -,5.0 °F,13%,29.75 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,64.0 °F,  -,1.9 °F,8%,29.68 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,66.0 °F,  -,3.0 °F,8%,29.66 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,66.9 °F,  -,3.9 °F,8%,29.65 in,10.0 mi,WSW,11.5 mph,23.0 mph,N/A,	 ,Mostly Cloudy
1:53 PM,68.0 °F,  -,7.0 °F,9%,29.62 in,10.0 mi,West,20.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,66.9 °F,  -,10.9 °F,11%,29.65 in,10.0 mi,NNE,15.0 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,60.1 °F,  -,12.0 °F,15%,29.70 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,59.0 °F,  -,8.1 °F,13%,29.74 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,54.0 °F,  -,10.0 °F,17%,29.76 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,46.9 °F,  -,16.0 °F,29%,29.76 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,55.0 °F,  -,10.9 °F,17%,29.75 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,55.9 °F,  -,10.0 °F,16%,29.76 in,10.0 mi,WNW,17.3 mph,25.3 mph,N/A,	 ,Mostly Cloudy
9:53 PM,57.9 °F,  -,5.0 °F,12%,29.73 in,10.0 mi,West,24.2 mph,35.7 mph,N/A,	 ,Mostly Cloudy
10:53 PM,55.9 °F,  -,6.1 °F,14%,29.74 in,10.0 mi,WNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,53.1 °F,  -,10.9 °F,19%,29.74 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
