Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,54.0 °F,  -,24.1 °F,31%,29.77 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,54.0 °F,  -,24.1 °F,31%,29.75 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,52.0 °F,  -,23.0 °F,32%,29.76 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,52.0 °F,  -,19.9 °F,28%,29.75 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,52.0 °F,  -,18.0 °F,26%,29.76 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,48.9 °F,  -,18.0 °F,29%,29.75 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,51.1 °F,  -,17.1 °F,26%,29.74 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,54.0 °F,  -,17.1 °F,23%,29.72 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,59.0 °F,  -,18.0 °F,20%,29.65 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,66.0 °F,  -,18.0 °F,16%,29.60 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,70.0 °F,  -,17.1 °F,13%,29.55 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,77.0 °F,  -,10.9 °F,8%,29.48 in,10.0 mi,SSW,18.4 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,80.1 °F,  -,10.0 °F,7%,29.43 in,10.0 mi,South,25.3 mph,33.4 mph,N/A,	 ,Scattered Clouds
1:53 PM,79.0 °F,  -,8.1 °F,7%,29.41 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,73.0 °F,  -,16.0 °F,11%,29.44 in,10.0 mi,North,19.6 mph,27.6 mph,N/A,	 ,Mostly Cloudy
3:03 PM,71.1 °F,  -,19.0 °F,14%,29.64 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,66.0 °F,  -,19.9 °F,17%,29.47 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,62.1 °F,  -,14.0 °F,15%,29.51 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,61.0 °F,  -,14.0 °F,16%,29.55 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:53 PM,57.0 °F,  -,14.0 °F,18%,29.57 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,52.0 °F,  -,15.1 °F,23%,29.59 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,48.9 °F,  -,16.0 °F,27%,29.59 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,50.0 °F,  -,15.1 °F,25%,29.57 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,42.1 °F,30.6 °F,18.0 °F,38%,29.64 in,10.0 mi,NE,34.5 mph,39.1 mph,N/A,	 ,Scattered Clouds
11:06 PM,43.0 °F,34.0 °F,26.1 °F,51%,29.80 in,10.0 mi,NE,21.9 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,39.9 °F,30.5 °F,28.0 °F,63%,29.70 in,10.0 mi,NNE,19.6 mph,  -,N/A,	 ,Scattered Clouds
