Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,33.1 °F,28.7 °F,28.9 °F,85%,30.06 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,30.9 °F,25.2 °F,27.0 °F,85%,30.04 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,28.9 °F,21.9 °F,25.0 °F,85%,30.04 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,28.9 °F,23.9 °F,26.1 °F,89%,30.03 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,28.9 °F,23.9 °F,27.0 °F,92%,30.01 in,7.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
5:34 AM,27.0 °F,  -,25.0 °F,92%,30.01 in,1.8 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:53 AM,25.0 °F,20.7 °F,21.9 °F,88%,30.04 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,30.0 °F,  -,27.0 °F,88%,30.04 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:14 AM,27.0 °F,20.5 °F,24.1 °F,89%,30.00 in,4.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,30.9 °F,27.5 °F,28.9 °F,92%,30.03 in,4.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,33.1 °F,  -,30.9 °F,92%,30.02 in,4.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:53 AM,36.0 °F,32.1 °F,33.1 °F,89%,30.00 in,4.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,39.9 °F,34.5 °F,35.1 °F,83%,29.96 in,6.0 mi,East,8.1 mph,  -,N/A,	 ,Haze
11:53 AM,45.0 °F,39.7 °F,35.1 °F,68%,29.95 in,9.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,48.0 °F,  -,35.1 °F,61%,29.86 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,55.9 °F,  -,35.1 °F,45%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:53 PM,59.0 °F,  -,35.1 °F,41%,29.78 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,55.0 °F,  -,35.1 °F,47%,29.80 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,54.0 °F,  -,34.0 °F,47%,29.81 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,50.0 °F,  -,33.1 °F,52%,29.84 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,46.9 °F,  -,32.0 °F,56%,29.86 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,45.0 °F,41.8 °F,32.0 °F,60%,29.89 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,42.1 °F,40.2 °F,32.0 °F,67%,29.90 in,9.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,42.1 °F,  -,32.0 °F,67%,29.90 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 PM,37.9 °F,33.5 °F,30.9 °F,76%,29.91 in,9.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,39.0 °F,  -,30.9 °F,73%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
