Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,34.0 °F,28.0 °F,28.9 °F,82%,30.11 in,8.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,33.1 °F,27.7 °F,28.0 °F,82%,30.11 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,30.9 °F,23.5 °F,26.1 °F,82%,30.13 in,8.0 mi,NE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,28.0 °F,20.0 °F,24.1 °F,85%,30.18 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,25.0 °F,14.8 °F,21.0 °F,85%,30.26 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,24.1 °F,14.4 °F,19.9 °F,84%,30.26 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,24.1 °F,14.4 °F,19.9 °F,84%,30.26 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,28.0 °F,  -,23.0 °F,81%,30.25 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:53 AM,30.0 °F,24.1 °F,25.0 °F,82%,30.22 in,7.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,33.1 °F,26.1 °F,27.0 °F,78%,30.21 in,8.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:22 AM,33.1 °F,25.5 °F,27.0 °F,78%,30.18 in,7.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,33.1 °F,26.9 °F,27.0 °F,78%,30.20 in,7.0 mi,NNE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:49 AM,37.4 °F,33.8 °F,28.4 °F,70%,30.14 in,9.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,37.9 °F,33.5 °F,28.9 °F,70%,30.14 in,9.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,44.1 °F,40.1 °F,28.9 °F,55%,30.07 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,43.0 °F,35.7 °F,28.9 °F,58%,30.07 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,41.0 °F,33.1 °F,28.9 °F,62%,30.08 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,39.0 °F,31.0 °F,28.9 °F,67%,30.10 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,35.1 °F,27.4 °F,28.0 °F,76%,30.14 in,9.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,34.0 °F,26.0 °F,27.0 °F,75%,30.16 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,30.9 °F,26.2 °F,26.1 °F,82%,30.16 in,9.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,28.9 °F,21.1 °F,25.0 °F,85%,30.15 in,7.0 mi,SSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,27.0 °F,20.5 °F,23.0 °F,85%,30.14 in,7.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,26.1 °F,17.6 °F,23.0 °F,88%,30.12 in,6.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,32.0 °F,28.7 °F,26.1 °F,79%,30.07 in,7.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,30.9 °F,27.5 °F,25.0 °F,79%,30.05 in,7.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
