Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,37.9 °F,31.5 °F,-4.0 °F,17%,30.24 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1:53 AM,35.1 °F,28.6 °F,-4.0 °F,19%,30.25 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
2:53 AM,34.0 °F,26.0 °F,-2.9 °F,21%,30.26 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
3:53 AM,37.0 °F,28.1 °F,-2.9 °F,18%,30.24 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Clear
4:53 AM,37.0 °F,28.1 °F,-2.9 °F,18%,30.25 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Clear
5:53 AM,41.0 °F,33.9 °F,-6.0 °F,14%,30.24 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
6:53 AM,41.0 °F,32.8 °F,-6.0 °F,14%,30.27 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,43.0 °F,37.2 °F,-5.1 °F,13%,30.27 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,46.0 °F,41.0 °F,-0.9 °F,14%,30.29 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,50.0 °F,  -,1.9 °F,14%,30.29 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,54.0 °F,  -,1.0 °F,12%,30.27 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,57.0 °F,  -,-2.0 °F,9%,30.25 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,55.9 °F,  -,1.0 °F,11%,30.25 in,10.0 mi,ENE,13.8 mph,23.0 mph,N/A,	 ,Partly Cloudy
1:53 PM,57.0 °F,  -,1.9 °F,11%,30.27 in,10.0 mi,NNE,16.1 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,54.0 °F,  -,3.9 °F,13%,30.30 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,50.0 °F,  -,6.1 °F,17%,30.34 in,10.0 mi,ENE,15.0 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,42.1 °F,37.7 °F,6.1 °F,23%,30.39 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,37.0 °F,31.0 °F,5.0 °F,26%,30.41 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,34.0 °F,26.6 °F,6.1 °F,31%,30.43 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,39.9 °F,37.8 °F,8.1 °F,27%,30.42 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,35.1 °F,29.3 °F,8.1 °F,33%,30.43 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,26.1 °F,14.5 °F,7.0 °F,44%,30.45 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Clear
10:53 PM,33.1 °F,24.4 °F,8.1 °F,35%,30.41 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Clear
11:53 PM,34.0 °F,28.0 °F,7.0 °F,32%,30.39 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
