Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,37.0 °F,28.1 °F,21.0 °F,52%,30.01 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,30.9 °F,21.2 °F,19.9 °F,64%,30.02 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,37.9 °F,30.5 °F,21.0 °F,51%,29.97 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,35.1 °F,26.9 °F,19.9 °F,54%,30.00 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,36.0 °F,28.5 °F,21.0 °F,55%,30.01 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,39.9 °F,32.5 °F,21.0 °F,47%,30.02 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,41.0 °F,39.0 °F,21.0 °F,45%,30.06 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,41.0 °F,38.0 °F,21.9 °F,47%,30.08 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,46.9 °F,  -,23.0 °F,39%,30.06 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,54.0 °F,  -,25.0 °F,33%,30.06 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,57.0 °F,  -,25.0 °F,29%,30.05 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,61.0 °F,  -,25.0 °F,25%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
12:53 PM,64.0 °F,  -,21.9 °F,20%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
1:53 PM,66.0 °F,  -,17.1 °F,15%,29.94 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,64.9 °F,  -,17.1 °F,16%,29.91 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:48 PM,60.8 °F,  -,23.0 °F,23%,30.02 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,60.1 °F,  -,23.0 °F,24%,29.94 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,48.0 °F,  -,23.0 °F,37%,29.99 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,41.0 °F,34.3 °F,21.0 °F,45%,29.99 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,44.1 °F,37.1 °F,21.0 °F,40%,29.96 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,39.0 °F,31.8 °F,21.0 °F,49%,29.99 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:20 PM,45.0 °F,40.1 °F,21.9 °F,40%,30.01 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,46.9 °F,  -,21.9 °F,37%,29.94 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,44.1 °F,37.7 °F,21.9 °F,42%,29.91 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,45.0 °F,38.9 °F,21.9 °F,40%,29.88 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,42.1 °F,35.7 °F,23.0 °F,47%,29.85 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
