Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,37.9 °F,32.1 °F,21.9 °F,53%,29.84 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,37.9 °F,33.5 °F,21.9 °F,53%,29.82 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,39.0 °F,32.8 °F,21.0 °F,49%,29.81 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,37.9 °F,31.5 °F,19.0 °F,47%,29.81 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,36.0 °F,29.0 °F,19.0 °F,50%,29.83 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,41.0 °F,35.8 °F,19.0 °F,41%,29.84 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,41.0 °F,35.2 °F,19.9 °F,43%,29.81 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,44.1 °F,39.0 °F,21.9 °F,42%,29.80 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,48.0 °F,  -,21.9 °F,36%,29.75 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,52.0 °F,  -,21.9 °F,31%,29.73 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,61.0 °F,  -,19.0 °F,20%,29.65 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,63.0 °F,  -,16.0 °F,16%,29.59 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,63.0 °F,  -,16.0 °F,16%,29.56 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,64.9 °F,  -,18.0 °F,16%,29.49 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:36 PM,63.0 °F,  -,19.9 °F,19%,29.60 in,10.0 mi,NE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,62.1 °F,  -,19.0 °F,19%,29.49 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,55.0 °F,  -,16.0 °F,22%,29.52 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,46.0 °F,41.0 °F,25.0 °F,44%,29.55 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,46.9 °F,  -,25.0 °F,42%,29.53 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,54.0 °F,  -,16.0 °F,22%,29.46 in,10.0 mi,SW,18.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,48.0 °F,  -,18.0 °F,30%,29.43 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,53.1 °F,  -,19.9 °F,27%,29.38 in,10.0 mi,SW,19.6 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,55.9 °F,  -,19.9 °F,25%,29.38 in,10.0 mi,WSW,36.8 mph,44.9 mph,N/A,	 ,Mostly Cloudy
11:53 PM,52.0 °F,  -,28.0 °F,40%,29.41 in,10.0 mi,WSW,24.2 mph,34.5 mph,N/A,	 ,Overcast
