Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,36.0 °F,30.3 °F,16.0 °F,44%,30.21 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
1:53 AM,37.0 °F,31.0 °F,15.1 °F,41%,30.21 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
2:53 AM,39.9 °F,33.4 °F,12.9 °F,33%,30.19 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
3:53 AM,39.0 °F,32.3 °F,12.9 °F,34%,30.19 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
4:53 AM,42.1 °F,36.1 °F,10.0 °F,27%,30.18 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Overcast
5:53 AM,42.1 °F,36.1 °F,10.0 °F,27%,30.19 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,44.1 °F,37.4 °F,8.1 °F,23%,30.19 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,43.0 °F,36.8 °F,7.0 °F,23%,30.21 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,46.0 °F,41.4 °F,7.0 °F,20%,30.22 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,51.1 °F,  -,7.0 °F,17%,30.21 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,52.0 °F,  -,3.9 °F,14%,30.19 in,10.0 mi,NNW,16.1 mph,29.9 mph,N/A,	 ,Mostly Cloudy
11:53 AM,53.1 °F,  -,1.0 °F,12%,30.16 in,10.0 mi,North,23.0 mph,26.5 mph,N/A,	 ,Mostly Cloudy
12:53 PM,54.0 °F,  -,-0.9 °F,11%,30.13 in,10.0 mi,NNW,24.2 mph,33.4 mph,N/A,	 ,Mostly Cloudy
1:53 PM,55.0 °F,  -,-0.9 °F,10%,30.12 in,10.0 mi,North,23.0 mph,29.9 mph,N/A,	 ,Mostly Cloudy
2:53 PM,55.9 °F,  -,-0.9 °F,10%,30.11 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,53.1 °F,  -,1.9 °F,12%,30.14 in,10.0 mi,North,20.7 mph,33.4 mph,N/A,	 ,Mostly Cloudy
4:53 PM,48.0 °F,  -,1.0 °F,14%,30.16 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,46.0 °F,39.6 °F,1.9 °F,16%,30.18 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,41.0 °F,33.5 °F,3.0 °F,21%,30.19 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,44.1 °F,37.4 °F,3.0 °F,18%,30.19 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,37.0 °F,31.6 °F,5.0 °F,26%,30.21 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,36.0 °F,29.6 °F,5.0 °F,27%,30.19 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,42.1 °F,  -,1.9 °F,19%,30.20 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:53 PM,39.0 °F,35.7 °F,1.0 °F,20%,30.20 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
