Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,17.1 °F,11.7 °F,10.0 °F,74%,29.96 in,9.0 mi,East,3.5 mph,  -,0.00 in,Snow,Light Snow
1:53 AM,14.0 °F,5.1 °F,9.0 °F,80%,29.97 in,9.0 mi,ESE,5.8 mph,  -,0.00 in,	 ,Scattered Clouds
2:53 AM,12.9 °F,2.6 °F,8.1 °F,81%,29.99 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,12.0 °F,-0.4 °F,7.0 °F,80%,30.00 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,12.9 °F,0.7 °F,7.0 °F,77%,30.00 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,10.9 °F,-0.8 °F,6.1 °F,81%,30.02 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,12.9 °F,0.7 °F,6.1 °F,74%,30.03 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,14.0 °F,6.5 °F,8.1 °F,77%,30.06 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,21.0 °F,13.4 °F,14.0 °F,74%,30.04 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,25.0 °F,19.3 °F,12.0 °F,58%,30.06 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,26.1 °F,20.5 °F,10.0 °F,51%,30.06 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,28.0 °F,20.8 °F,10.0 °F,47%,30.03 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,28.9 °F,19.8 °F,10.0 °F,45%,30.02 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,28.9 °F,21.1 °F,9.0 °F,43%,30.03 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,30.0 °F,24.1 °F,9.0 °F,41%,30.05 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,28.9 °F,21.1 °F,9.0 °F,43%,30.07 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,25.0 °F,17.1 °F,10.0 °F,53%,30.11 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,21.0 °F,10.6 °F,10.0 °F,63%,30.16 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,19.9 °F,8.6 °F,9.0 °F,62%,30.17 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,18.0 °F,8.7 °F,8.1 °F,65%,30.19 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,15.1 °F,5.2 °F,7.0 °F,70%,30.19 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,15.1 °F,4.2 °F,7.0 °F,70%,30.19 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,14.0 °F,6.5 °F,6.1 °F,71%,30.21 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,10.9 °F,-0.8 °F,5.0 °F,77%,30.22 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
