Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,51.1 °F,  -,12.0 °F,21%,29.81 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,41.0 °F,34.7 °F,15.1 °F,35%,29.85 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,39.9 °F,34.5 °F,16.0 °F,38%,29.84 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,39.0 °F,31.8 °F,16.0 °F,39%,29.84 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,43.0 °F,37.2 °F,16.0 °F,34%,29.84 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,46.9 °F,  -,14.0 °F,27%,29.82 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,39.0 °F,33.4 °F,16.0 °F,39%,29.82 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,39.0 °F,32.8 °F,19.0 °F,45%,29.84 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,50.0 °F,  -,17.1 °F,27%,29.79 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,54.0 °F,  -,18.0 °F,24%,29.78 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,57.0 °F,  -,16.0 °F,20%,29.75 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,59.0 °F,  -,12.9 °F,16%,29.73 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,61.0 °F,  -,16.0 °F,17%,29.68 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,60.1 °F,  -,18.0 °F,20%,29.69 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,60.1 °F,  -,16.0 °F,18%,29.69 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,55.9 °F,  -,10.9 °F,17%,29.72 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,48.0 °F,  -,17.1 °F,29%,29.75 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,46.9 °F,  -,15.1 °F,28%,29.74 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,48.0 °F,  -,15.1 °F,27%,29.81 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,44.1 °F,39.5 °F,16.0 °F,32%,29.82 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,44.1 °F,38.1 °F,16.0 °F,32%,29.82 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,37.9 °F,30.9 °F,18.0 °F,45%,29.86 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,36.0 °F,28.5 °F,19.9 °F,52%,29.86 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,30.9 °F,19.4 °F,24.1 °F,76%,29.88 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
