Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,36.0 °F,29.0 °F,16.0 °F,44%,29.56 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,36.0 °F,30.3 °F,16.0 °F,44%,29.55 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,37.0 °F,29.3 °F,16.0 °F,42%,29.55 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,33.1 °F,30.0 °F,17.1 °F,52%,29.58 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,41.0 °F,38.0 °F,15.1 °F,35%,29.57 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,39.0 °F,35.7 °F,15.1 °F,38%,29.60 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,42.1 °F,35.2 °F,15.1 °F,34%,29.61 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,42.1 °F,37.1 °F,18.0 °F,38%,29.63 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,46.9 °F,  -,19.9 °F,34%,29.60 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:53 AM,57.0 °F,  -,19.0 °F,23%,29.60 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,60.1 °F,  -,21.0 °F,22%,29.56 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,60.1 °F,  -,21.9 °F,23%,29.52 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,61.0 °F,  -,21.9 °F,22%,29.49 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,61.0 °F,  -,21.9 °F,22%,29.46 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,62.1 °F,  -,23.0 °F,22%,29.46 in,10.0 mi,West,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
3:53 PM,59.0 °F,  -,26.1 °F,28%,29.51 in,10.0 mi,WNW,21.9 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,55.9 °F,  -,28.0 °F,34%,29.51 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,41.0 °F,35.8 °F,28.9 °F,62%,29.60 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,37.0 °F,29.8 °F,28.0 °F,70%,29.61 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,39.9 °F,35.8 °F,28.0 °F,63%,29.62 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,45.0 °F,42.6 °F,27.0 °F,49%,29.60 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,39.0 °F,32.8 °F,28.0 °F,65%,29.57 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,46.9 °F,  -,30.0 °F,52%,29.52 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,48.0 °F,  -,32.0 °F,54%,29.52 in,10.0 mi,SW,19.6 mph,26.5 mph,N/A,	 ,Mostly Cloudy
