Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,48.9 °F,  -,19.9 °F,32%,29.95 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,45.0 °F,39.3 °F,21.0 °F,39%,29.97 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,41.0 °F,34.7 °F,21.9 °F,47%,29.99 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,39.0 °F,31.8 °F,21.0 °F,49%,30.01 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,37.0 °F,28.5 °F,21.0 °F,52%,30.04 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,37.9 °F,30.5 °F,21.9 °F,53%,30.06 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,39.9 °F,32.1 °F,24.1 °F,53%,30.09 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,43.0 °F,37.7 °F,25.0 °F,49%,30.10 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,54.0 °F,  -,26.1 °F,34%,30.09 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,59.0 °F,  -,25.0 °F,27%,30.09 in,10.0 mi,SE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,62.1 °F,  -,25.0 °F,24%,30.10 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,64.0 °F,  -,25.0 °F,23%,30.09 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,66.0 °F,  -,25.0 °F,21%,30.08 in,10.0 mi,ESE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,68.0 °F,  -,26.1 °F,21%,30.08 in,10.0 mi,East,17.3 mph,23.0 mph,N/A,	 ,Mostly Cloudy
2:53 PM,70.0 °F,  -,26.1 °F,19%,30.06 in,10.0 mi,East,13.8 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:53 PM,69.1 °F,  -,26.1 °F,20%,30.08 in,10.0 mi,East,17.3 mph,23.0 mph,N/A,	 ,Scattered Clouds
4:53 PM,68.0 °F,  -,27.0 °F,21%,30.08 in,10.0 mi,ENE,19.6 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,66.0 °F,  -,27.0 °F,23%,30.10 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,59.0 °F,  -,26.1 °F,28%,30.13 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,51.1 °F,  -,26.1 °F,38%,30.17 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,48.9 °F,  -,26.1 °F,41%,30.17 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,45.0 °F,39.3 °F,26.1 °F,48%,30.15 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:35 PM,48.0 °F,  -,25.0 °F,41%,30.26 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
10:53 PM,48.9 °F,  -,27.0 °F,43%,30.13 in,10.0 mi,SSW,18.4 mph,  -,N/A,	 ,Clear
11:53 PM,48.0 °F,  -,28.9 °F,48%,30.15 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Clear
