Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,35.1 °F,26.4 °F,5.0 °F,28%,29.98 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,34.0 °F,26.0 °F,5.0 °F,30%,29.96 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,39.0 °F,31.0 °F,8.1 °F,28%,29.91 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,39.9 °F,31.8 °F,8.1 °F,27%,29.88 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,39.9 °F,31.4 °F,8.1 °F,27%,29.88 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,42.1 °F,34.2 °F,8.1 °F,25%,29.89 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,44.1 °F,38.1 °F,7.0 °F,22%,29.91 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,45.0 °F,40.6 °F,8.1 °F,22%,29.93 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,51.1 °F,  -,8.1 °F,18%,29.91 in,10.0 mi,SW,17.3 mph,21.9 mph,N/A,	 ,Mostly Cloudy
9:53 AM,53.1 °F,  -,6.1 °F,15%,29.90 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,60.1 °F,  -,1.9 °F,10%,29.85 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,63.0 °F,  -,-0.0 °F,8%,29.81 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,64.9 °F,  -,-0.0 °F,7%,29.77 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,66.9 °F,  -,-0.9 °F,7%,29.73 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,69.1 °F,  -,-0.0 °F,6%,29.69 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
3:53 PM,70.0 °F,  -,-0.0 °F,6%,29.67 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,64.9 °F,  -,1.9 °F,8%,29.68 in,10.0 mi,NE,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,54.0 °F,  -,7.0 °F,15%,29.73 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,52.0 °F,  -,5.0 °F,15%,29.74 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,46.0 °F,41.0 °F,7.0 °F,20%,29.75 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,51.1 °F,  -,3.9 °F,15%,29.72 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,42.1 °F,37.1 °F,5.0 °F,22%,29.75 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,48.0 °F,  -,3.9 °F,16%,29.72 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,48.9 °F,  -,5.0 °F,17%,29.70 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
