Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,33.1 °F,26.9 °F,28.9 °F,85%,29.97 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,33.1 °F,27.7 °F,28.9 °F,85%,29.94 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,33.1 °F,26.1 °F,28.9 °F,85%,29.91 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
3:53 AM,32.0 °F,26.4 °F,28.9 °F,88%,29.89 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
4:53 AM,30.9 °F,23.5 °F,28.9 °F,92%,29.88 in,9.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
5:53 AM,32.0 °F,23.6 °F,28.9 °F,88%,29.87 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,33.1 °F,26.1 °F,28.0 °F,82%,29.87 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,36.0 °F,30.3 °F,30.9 °F,82%,29.86 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,43.0 °F,38.8 °F,34.0 °F,71%,29.84 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,50.0 °F,  -,32.0 °F,50%,29.83 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,55.0 °F,  -,30.9 °F,40%,29.81 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,57.0 °F,  -,28.0 °F,33%,29.81 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,59.0 °F,  -,25.0 °F,27%,29.77 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,61.0 °F,  -,25.0 °F,25%,29.73 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,62.1 °F,  -,25.0 °F,24%,29.70 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,63.0 °F,  -,24.1 °F,23%,29.68 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,61.0 °F,  -,26.1 °F,26%,29.67 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,57.9 °F,  -,28.9 °F,33%,29.67 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,55.0 °F,  -,33.1 °F,43%,29.68 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,53.1 °F,  -,33.1 °F,47%,29.69 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,48.9 °F,  -,36.0 °F,61%,29.71 in,10.0 mi,North,6.9 mph,  -,0.00 in,	 ,Light Drizzle
9:53 PM,46.9 °F,  -,37.0 °F,68%,29.67 in,10.0 mi,East,5.8 mph,  -,0.00 in,	 ,Overcast
10:53 PM,46.0 °F,41.9 °F,37.0 °F,71%,29.65 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
11:53 PM,46.4 °F,45.2 °F,37.4 °F,71%,29.65 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Overcast
