Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,50.0 °F,30.0 °F,46%,29.89 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,48.9 °F,30.0 °F,48%,29.86 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,50.0 °F,28.9 °F,44%,29.84 in,10.0 mi,SSW,18.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,50.0 °F,28.9 °F,44%,29.83 in,10.0 mi,SSW,19.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,48.0 °F,28.0 °F,46%,29.83 in,10.0 mi,SW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,46.9 °F,28.0 °F,48%,29.83 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,50.0 °F,27.0 °F,41%,29.82 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,51.1 °F,27.0 °F,39%,29.86 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,57.0 °F,28.0 °F,33%,29.84 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,66.0 °F,27.0 °F,23%,29.79 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,69.1 °F,26.1 °F,20%,29.77 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,73.9 °F,23.0 °F,15%,29.74 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,73.0 °F,23.0 °F,15%,29.70 in,10.0 mi,South,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:53 PM,75.9 °F,23.0 °F,14%,29.68 in,10.0 mi,SSW,10.4 mph,24.2 mph,N/A,	 ,Mostly Cloudy
2:53 PM,75.0 °F,23.0 °F,14%,29.65 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,75.0 °F,24.1 °F,15%,29.63 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 PM,75.0 °F,24.1 °F,15%,29.63 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,73.0 °F,28.9 °F,20%,29.64 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,70.0 °F,27.0 °F,20%,29.64 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:53 PM,66.0 °F,30.0 °F,26%,29.65 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,64.9 °F,28.9 °F,26%,29.66 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,61.0 °F,30.9 °F,32%,29.64 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,61.0 °F,28.9 °F,30%,29.62 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,57.9 °F,28.9 °F,33%,29.60 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
