Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,60.1 °F,39.9 °F,47%,29.65 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,57.0 °F,39.9 °F,53%,29.64 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,53.1 °F,39.9 °F,61%,29.65 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,54.0 °F,41.0 °F,62%,29.64 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,54.0 °F,39.9 °F,59%,29.65 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,52.0 °F,39.0 °F,61%,29.66 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,55.0 °F,37.9 °F,53%,29.67 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,59.0 °F,39.0 °F,48%,29.68 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,62.1 °F,39.9 °F,44%,29.69 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,66.9 °F,42.1 °F,40%,29.68 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,69.1 °F,44.1 °F,40%,29.65 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,70.0 °F,46.0 °F,42%,29.64 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,75.0 °F,37.0 °F,25%,29.59 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,78.1 °F,39.0 °F,25%,29.55 in,10.0 mi,East,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
2:53 PM,81.0 °F,36.0 °F,20%,29.50 in,10.0 mi,East,17.3 mph,28.8 mph,N/A,	 ,Scattered Clouds
3:34 PM,82.0 °F,24.1 °F,12%,29.69 in,10.0 mi,SE,16.1 mph,26.5 mph,N/A,	 ,Scattered Clouds
3:53 PM,82.9 °F,23.0 °F,11%,29.45 in,10.0 mi,SSE,15.0 mph,24.2 mph,N/A,	 ,Scattered Clouds
4:53 PM,81.0 °F,21.9 °F,11%,29.41 in,10.0 mi,South,27.6 mph,34.5 mph,N/A,	 ,Mostly Cloudy
5:53 PM,78.1 °F,26.1 °F,15%,29.41 in,10.0 mi,South,23.0 mph,34.5 mph,N/A,	 ,Mostly Cloudy
6:53 PM,75.9 °F,28.9 °F,18%,29.40 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,72.0 °F,41.0 °F,33%,29.40 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,68.0 °F,42.1 °F,39%,29.41 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,62.1 °F,43.0 °F,50%,29.43 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,64.0 °F,42.1 °F,45%,29.44 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,61.0 °F,37.0 °F,41%,29.47 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
