Time (MDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,44.1 °F,37.7 °F,37.0 °F,76%,30.06 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,46.9 °F,  -,36.0 °F,66%,30.02 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,43.0 °F,35.7 °F,35.1 °F,74%,30.01 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
3:53 AM,46.9 °F,  -,36.0 °F,66%,29.99 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
4:53 AM,48.0 °F,  -,35.1 °F,61%,29.98 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
5:53 AM,46.9 °F,  -,35.1 °F,63%,29.98 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,50.0 °F,  -,36.0 °F,59%,29.99 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
7:53 AM,55.9 °F,  -,37.0 °F,49%,30.01 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
8:53 AM,60.1 °F,  -,36.0 °F,41%,30.01 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
9:53 AM,64.9 °F,  -,36.0 °F,34%,30.00 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
10:53 AM,70.0 °F,  -,36.0 °F,29%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 AM,72.0 °F,  -,34.0 °F,25%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
12:53 PM,75.0 °F,  -,34.0 °F,22%,29.93 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,75.9 °F,  -,32.0 °F,20%,29.90 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,78.1 °F,  -,30.9 °F,18%,29.88 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,77.0 °F,  -,28.0 °F,17%,29.86 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,77.0 °F,  -,28.0 °F,17%,29.83 in,10.0 mi,ENE,12.7 mph,16.1 mph,N/A,	 ,Partly Cloudy
5:53 PM,75.9 °F,  -,28.0 °F,17%,29.84 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,73.0 °F,  -,30.0 °F,20%,29.83 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,66.0 °F,  -,34.0 °F,30%,29.84 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,55.9 °F,  -,36.0 °F,47%,29.87 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,54.0 °F,  -,37.9 °F,55%,29.86 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Clear
10:53 PM,55.0 °F,  -,37.0 °F,51%,29.84 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
11:53 PM,54.0 °F,  -,39.0 °F,57%,29.83 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Clear
