Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,55.0 °F,45.0 °F,69%,29.74 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:32 AM,57.0 °F,44.1 °F,62%,29.95 in,10.0 mi,SW,9.2 mph,  -,N/A,Thunderstorm,Mostly Cloudy
1:45 AM,55.9 °F,46.0 °F,69%,29.95 in,10.0 mi,WSW,12.7 mph,  -,0.00 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
1:53 AM,55.9 °F,46.0 °F,69%,29.75 in,10.0 mi,SW,11.5 mph,  -,0.00 in,Thunderstorm,Thunderstorm
2:21 AM,54.0 °F,48.0 °F,80%,29.93 in,10.0 mi,SSE,13.8 mph,  -,0.03 in,Rain,Light Rain
2:53 AM,51.1 °F,45.0 °F,80%,29.75 in,10.0 mi,South,15.0 mph,  -,0.03 in,	 ,Mostly Cloudy
3:53 AM,55.0 °F,43.0 °F,64%,29.76 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,53.1 °F,42.1 °F,66%,29.77 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,50.0 °F,42.1 °F,74%,29.79 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,53.1 °F,42.1 °F,66%,29.82 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,57.0 °F,44.1 °F,62%,29.82 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,60.1 °F,44.1 °F,55%,29.88 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,63.0 °F,45.0 °F,52%,29.89 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,66.0 °F,46.9 °F,50%,29.87 in,10.0 mi,NNE,18.4 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,73.0 °F,46.0 °F,38%,29.87 in,10.0 mi,NNE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,70.0 °F,45.0 °F,41%,29.86 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,72.0 °F,46.9 °F,41%,29.82 in,10.0 mi,NE,18.4 mph,31.1 mph,N/A,	 ,Mostly Cloudy
2:53 PM,68.0 °F,46.0 °F,45%,29.83 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
3:16 PM,68.0 °F,46.9 °F,47%,29.99 in,10.0 mi,ENE,17.3 mph,  -,N/A,Thunderstorm,Mostly Cloudy
3:27 PM,68.0 °F,46.9 °F,47%,29.98 in,10.0 mi,ENE,20.7 mph,  -,N/A,Thunderstorm,Thunderstorm
3:46 PM,66.0 °F,48.0 °F,52%,29.99 in,10.0 mi,East,13.8 mph,  -,N/A,Thunderstorm,Thunderstorm
3:53 PM,64.0 °F,48.0 °F,56%,29.86 in,10.0 mi,WSW,19.6 mph,  -,N/A,Thunderstorm,Thunderstorm
