Time (MDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:17 AM,64.0 °F,  -,62.1 °F,93%,30.31 in,9.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:53 AM,64.9 °F,  -,62.1 °F,90%,30.06 in,8.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,64.0 °F,  -,62.1 °F,93%,30.06 in,5.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,64.0 °F,  -,61.0 °F,90%,30.02 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,64.0 °F,  -,60.1 °F,87%,29.99 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,60.1 °F,  -,57.9 °F,93%,30.01 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,61.0 °F,  -,57.9 °F,90%,30.01 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,63.0 °F,  -,60.1 °F,90%,30.01 in,10.0 mi,SE,13.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,66.9 °F,  -,61.0 °F,81%,30.04 in,10.0 mi,SE,13.8 mph,  -,N/A,	 ,Clear
8:41 AM,70.0 °F,  -,60.1 °F,71%,30.26 in,10.0 mi,SE,15.0 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,70.0 °F,  -,60.1 °F,71%,30.04 in,10.0 mi,SE,15.0 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,73.9 °F,  -,60.1 °F,62%,30.04 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,77.0 °F,  -,60.1 °F,56%,30.03 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,80.1 °F,80.2 °F,55.9 °F,43%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:53 PM,82.0 °F,81.7 °F,57.0 °F,42%,29.97 in,10.0 mi,ESE,9.2 mph,17.3 mph,N/A,	 ,Mostly Cloudy
1:53 PM,84.9 °F,83.7 °F,55.9 °F,37%,29.95 in,10.0 mi,Variable,6.9 mph,16.1 mph,N/A,	 ,Scattered Clouds
2:53 PM,84.0 °F,83.0 °F,55.9 °F,38%,29.93 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,88.0 °F,86.5 °F,55.9 °F,34%,29.88 in,10.0 mi,SE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,84.9 °F,83.7 °F,55.9 °F,37%,29.89 in,10.0 mi,ESE,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
5:53 PM,86.0 °F,84.7 °F,55.9 °F,36%,29.87 in,10.0 mi,SE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,81.0 °F,81.1 °F,57.9 °F,45%,29.89 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,79.0 °F,  -,60.1 °F,52%,29.89 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,75.0 °F,  -,60.1 °F,60%,29.88 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,75.0 °F,  -,59.0 °F,57%,29.87 in,10.0 mi,SSW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,73.9 °F,  -,59.0 °F,59%,29.86 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,73.9 °F,  -,57.0 °F,55%,29.86 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
