Time (MDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,66.9 °F,  -,55.0 °F,66%,29.93 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
1:53 AM,69.1 °F,  -,55.0 °F,61%,29.90 in,10.0 mi,South,16.1 mph,24.2 mph,N/A,	 ,Overcast
2:53 AM,68.0 °F,  -,55.9 °F,65%,29.89 in,10.0 mi,SSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,68.0 °F,  -,57.0 °F,68%,29.91 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
4:53 AM,66.9 °F,  -,57.9 °F,73%,29.95 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
5:53 AM,66.9 °F,  -,57.9 °F,73%,29.95 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,66.0 °F,  -,59.0 °F,78%,29.96 in,10.0 mi,SW,8.1 mph,  -,0.00 in,Rain,Light Rain
7:53 AM,68.0 °F,  -,57.9 °F,70%,29.97 in,10.0 mi,WSW,4.6 mph,  -,0.00 in,	 ,Overcast
8:53 AM,69.1 °F,  -,57.9 °F,68%,29.97 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,71.1 °F,  -,57.0 °F,61%,29.99 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,73.9 °F,  -,57.0 °F,55%,30.00 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,75.2 °F,  -,55.4 °F,50%,29.99 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,77.0 °F,  -,57.0 °F,50%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,77.0 °F,  -,57.0 °F,50%,29.99 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.98 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,78.1 °F,  -,55.9 °F,46%,29.98 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,77.0 °F,  -,55.9 °F,48%,29.97 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
5:53 PM,78.1 °F,  -,52.0 °F,40%,29.97 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,78.1 °F,  -,48.9 °F,36%,29.99 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,72.0 °F,  -,53.1 °F,51%,30.02 in,10.0 mi,NNE,15.0 mph,  -,0.00 in,	 ,Mostly Cloudy
8:53 PM,66.9 °F,  -,55.0 °F,66%,30.06 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,66.0 °F,  -,57.0 °F,73%,30.08 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,66.0 °F,  -,57.0 °F,73%,30.07 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
11:53 PM,66.9 °F,  -,57.0 °F,70%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
