Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.0 °F,37.0 °F,34%,29.95 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Clear
1:53 AM,69.1 °F,37.0 °F,31%,29.95 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
2:53 AM,69.1 °F,37.0 °F,31%,29.94 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
3:53 AM,64.9 °F,37.9 °F,37%,29.95 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
5:53 AM,62.1 °F,37.9 °F,41%,29.97 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,68.0 °F,37.9 °F,33%,29.98 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,73.9 °F,37.9 °F,27%,29.98 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,79.0 °F,37.9 °F,23%,29.99 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,84.0 °F,37.9 °F,19%,29.97 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,89.1 °F,37.0 °F,16%,29.98 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,91.9 °F,37.0 °F,15%,29.98 in,10.0 mi,ESE,10.4 mph,17.3 mph,N/A,	 ,Partly Cloudy
12:53 PM,93.9 °F,35.1 °F,13%,29.96 in,10.0 mi,ENE,11.5 mph,16.1 mph,N/A,	 ,Partly Cloudy
1:53 PM,95.0 °F,36.0 °F,13%,29.93 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,97.0 °F,33.1 °F,11%,29.93 in,10.0 mi,NNE,17.3 mph,20.7 mph,N/A,	 ,Partly Cloudy
3:53 PM,97.0 °F,33.1 °F,11%,29.93 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,95.0 °F,32.0 °F,11%,29.93 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,96.1 °F,32.0 °F,10%,29.92 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,93.9 °F,32.0 °F,11%,29.92 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,87.1 °F,35.1 °F,16%,29.92 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,81.0 °F,37.0 °F,21%,29.94 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,75.0 °F,41.0 °F,29%,29.96 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,75.0 °F,41.0 °F,29%,29.96 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,72.0 °F,41.0 °F,33%,29.96 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Scattered Clouds
