Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.9 °F,53.1 °F,84%,29.83 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,57.9 °F,52.0 °F,81%,29.83 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,57.9 °F,52.0 °F,81%,29.83 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,57.9 °F,52.0 °F,81%,29.82 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,59.0 °F,53.1 °F,81%,29.85 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,57.9 °F,53.1 °F,84%,29.88 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,57.9 °F,54.0 °F,87%,29.90 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,59.0 °F,51.1 °F,75%,29.94 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,63.0 °F,52.0 °F,67%,29.97 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,63.0 °F,51.1 °F,65%,29.98 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,64.9 °F,50.0 °F,58%,29.98 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,69.1 °F,50.0 °F,51%,29.97 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,72.0 °F,46.0 °F,40%,29.95 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,73.9 °F,44.1 °F,34%,29.94 in,10.0 mi,North,13.8 mph,26.5 mph,N/A,	 ,Scattered Clouds
2:53 PM,73.0 °F,45.0 °F,37%,29.93 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,75.0 °F,44.1 °F,33%,29.92 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,75.9 °F,44.1 °F,32%,29.92 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,75.0 °F,43.0 °F,32%,29.94 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,72.0 °F,46.0 °F,40%,29.96 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,66.0 °F,46.9 °F,50%,29.95 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,64.9 °F,46.0 °F,50%,29.99 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,59.0 °F,48.9 °F,69%,30.02 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,59.0 °F,46.9 °F,64%,30.01 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.0 °F,46.9 °F,69%,30.01 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
