Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,71.1 °F,43.0 °F,36%,29.87 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,69.1 °F,43.0 °F,39%,29.85 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,69.1 °F,44.1 °F,40%,29.84 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,69.1 °F,43.0 °F,39%,29.83 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,66.0 °F,44.1 °F,45%,29.83 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,64.9 °F,43.0 °F,45%,29.84 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,64.9 °F,45.0 °F,48%,29.87 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,70.0 °F,46.0 °F,42%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,75.0 °F,45.0 °F,34%,29.87 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,80.1 °F,45.0 °F,29%,29.88 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,84.0 °F,39.0 °F,20%,29.87 in,10.0 mi,NNE,15.0 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,78.1 °F,41.0 °F,27%,29.90 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,82.0 °F,44.1 °F,26%,29.90 in,10.0 mi,NE,18.4 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,84.9 °F,42.1 °F,22%,29.93 in,10.0 mi,NNE,18.4 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,86.0 °F,39.0 °F,19%,29.92 in,10.0 mi,NNE,18.4 mph,25.3 mph,N/A,	 ,Scattered Clouds
3:53 PM,87.1 °F,39.0 °F,18%,29.91 in,10.0 mi,North,19.6 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,84.9 °F,39.0 °F,20%,29.94 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,82.9 °F,44.1 °F,25%,29.95 in,10.0 mi,NE,8.1 mph,19.6 mph,N/A,	 ,Mostly Cloudy
6:53 PM,80.1 °F,46.9 °F,31%,29.96 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,73.0 °F,50.0 °F,44%,29.99 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,68.0 °F,51.1 °F,55%,30.02 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,64.9 °F,50.0 °F,58%,30.03 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,64.0 °F,50.0 °F,60%,30.04 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,63.0 °F,48.9 °F,60%,30.07 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
