Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:33 AM,72.0 °F,44.1 °F,37%,30.17 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 AM,69.1 °F,44.1 °F,40%,29.91 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,66.9 °F,45.0 °F,45%,29.91 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
2:53 AM,64.0 °F,45.0 °F,50%,29.94 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
3:53 AM,61.0 °F,44.1 °F,54%,29.95 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
4:53 AM,61.0 °F,45.0 °F,56%,29.97 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,60.1 °F,43.0 °F,53%,29.97 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,61.0 °F,44.1 °F,54%,29.99 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,66.9 °F,45.0 °F,45%,30.00 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,75.0 °F,44.1 °F,33%,30.00 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,79.0 °F,43.0 °F,28%,29.99 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,84.0 °F,39.9 °F,21%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 AM,89.1 °F,36.0 °F,15%,29.97 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,90.0 °F,34.0 °F,14%,29.96 in,10.0 mi,NNE,11.5 mph,20.7 mph,N/A,	 ,Partly Cloudy
1:53 PM,91.0 °F,34.0 °F,13%,29.95 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,91.0 °F,32.0 °F,12%,29.94 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,91.9 °F,30.9 °F,11%,29.93 in,10.0 mi,NW,13.8 mph,20.7 mph,N/A,	 ,Scattered Clouds
4:53 PM,89.1 °F,34.0 °F,14%,29.94 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,88.0 °F,32.0 °F,14%,29.95 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,88.0 °F,32.0 °F,14%,29.94 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,82.9 °F,32.0 °F,16%,29.94 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,77.0 °F,33.1 °F,20%,29.94 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,77.0 °F,32.0 °F,19%,29.95 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,70.0 °F,36.0 °F,29%,29.96 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,72.0 °F,35.1 °F,26%,29.95 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
