Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
1:53 AM,66.0 °F,46.9 °F,50%,29.96 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,64.0 °F,46.0 °F,52%,29.95 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,63.0 °F,46.0 °F,54%,29.94 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,61.0 °F,46.0 °F,58%,29.95 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,60.1 °F,45.0 °F,57%,29.96 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,59.0 °F,45.0 °F,60%,29.99 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,64.9 °F,45.0 °F,48%,29.97 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,72.0 °F,45.0 °F,38%,29.97 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,77.0 °F,44.1 °F,31%,29.96 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,81.0 °F,43.0 °F,26%,29.92 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,84.0 °F,43.0 °F,24%,29.92 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,88.0 °F,41.0 °F,19%,29.87 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,90.0 °F,39.9 °F,17%,29.83 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,91.9 °F,36.0 °F,14%,29.80 in,10.0 mi,North,11.5 mph,17.3 mph,N/A,	 ,Scattered Clouds
3:53 PM,89.1 °F,36.0 °F,15%,29.80 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,89.1 °F,36.0 °F,15%,29.78 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,86.0 °F,36.0 °F,17%,29.78 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,82.0 °F,35.1 °F,18%,29.79 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,80.1 °F,35.1 °F,20%,29.78 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,79.0 °F,35.1 °F,20%,29.77 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,70.0 °F,42.1 °F,36%,29.78 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,71.1 °F,44.1 °F,38%,29.76 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,71.1 °F,42.1 °F,35%,29.74 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Partly Cloudy
