Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,64.9 °F,50.0 °F,58%,29.89 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,64.9 °F,50.0 °F,58%,29.87 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,63.0 °F,51.1 °F,65%,29.88 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,61.0 °F,51.1 °F,70%,29.90 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,61.0 °F,51.1 °F,70%,29.89 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,62.1 °F,50.0 °F,65%,29.91 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,63.0 °F,48.9 °F,60%,29.91 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,66.9 °F,48.9 °F,52%,29.94 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,71.1 °F,48.0 °F,44%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:53 AM,78.1 °F,46.9 °F,33%,29.96 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,80.1 °F,45.0 °F,29%,29.96 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,82.0 °F,44.1 °F,26%,29.96 in,10.0 mi,North,18.4 mph,25.3 mph,N/A,	 ,Scattered Clouds
12:53 PM,80.1 °F,43.0 °F,27%,29.96 in,10.0 mi,NNE,9.2 mph,24.2 mph,N/A,	 ,Scattered Clouds
1:53 PM,84.0 °F,44.1 °F,25%,29.94 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,86.0 °F,42.1 °F,21%,29.94 in,10.0 mi,NNE,20.7 mph,25.3 mph,N/A,	 ,Scattered Clouds
3:53 PM,86.0 °F,39.9 °F,20%,29.94 in,10.0 mi,North,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
4:53 PM,84.9 °F,37.9 °F,19%,29.94 in,10.0 mi,NNE,12.7 mph,17.3 mph,N/A,	 ,Partly Cloudy
5:53 PM,82.9 °F,39.0 °F,21%,29.94 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,79.0 °F,39.0 °F,24%,29.96 in,9.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,73.0 °F,39.0 °F,29%,29.98 in,9.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,66.9 °F,42.1 °F,40%,30.00 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,64.9 °F,44.1 °F,47%,29.99 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,68.0 °F,42.1 °F,39%,29.99 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
11:53 PM,66.0 °F,43.0 °F,43%,29.99 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
