Time (MDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,68.0 °F,41.0 °F,37%,29.99 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
1:53 AM,68.0 °F,42.1 °F,39%,29.96 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Clear
2:19 AM,66.0 °F,42.1 °F,42%,30.23 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
2:53 AM,66.0 °F,42.1 °F,42%,29.97 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
3:53 AM,66.9 °F,42.1 °F,40%,29.97 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Clear
4:53 AM,63.0 °F,42.1 °F,46%,29.98 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
5:53 AM,62.1 °F,42.1 °F,48%,29.99 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
6:53 AM,63.0 °F,42.1 °F,46%,30.01 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
7:53 AM,68.0 °F,42.1 °F,39%,30.03 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
8:53 AM,78.1 °F,39.0 °F,25%,30.01 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
9:53 AM,84.0 °F,39.0 °F,20%,29.99 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
10:53 AM,91.0 °F,35.1 °F,14%,29.99 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,93.0 °F,28.9 °F,10%,29.96 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,93.9 °F,21.9 °F,7%,29.95 in,10.0 mi,NW,13.8 mph,20.7 mph,N/A,	 ,Partly Cloudy
1:53 PM,97.0 °F,24.1 °F,7%,29.92 in,10.0 mi,WNW,12.7 mph,17.3 mph,N/A,	 ,Partly Cloudy
2:53 PM,96.1 °F,24.1 °F,8%,29.91 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,97.0 °F,25.0 °F,8%,29.89 in,10.0 mi,NNE,16.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,95.0 °F,25.0 °F,8%,29.90 in,10.0 mi,NNE,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,93.9 °F,25.0 °F,8%,29.90 in,10.0 mi,NNE,9.2 mph,19.6 mph,N/A,	 ,Partly Cloudy
6:53 PM,87.1 °F,28.0 °F,12%,29.92 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,82.0 °F,28.9 °F,14%,29.93 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,75.0 °F,30.0 °F,19%,29.94 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,71.1 °F,30.0 °F,22%,29.95 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,69.1 °F,32.0 °F,25%,29.96 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,68.0 °F,32.0 °F,26%,29.99 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
