Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,64.9 °F,37.0 °F,36%,30.21 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,61.0 °F,42.1 °F,50%,30.23 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
2:53 AM,57.9 °F,41.0 °F,53%,30.24 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
3:53 AM,57.9 °F,41.0 °F,53%,30.25 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,55.9 °F,41.0 °F,57%,30.26 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,59.0 °F,37.9 °F,46%,30.27 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,57.9 °F,39.0 °F,49%,30.28 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,55.0 °F,39.0 °F,55%,30.30 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,59.0 °F,37.0 °F,44%,30.32 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,63.0 °F,35.1 °F,35%,30.34 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,66.9 °F,35.1 °F,31%,30.34 in,10.0 mi,NW,16.1 mph,27.6 mph,N/A,	 ,Scattered Clouds
11:53 AM,71.1 °F,26.1 °F,19%,30.32 in,10.0 mi,NNW,20.7 mph,28.8 mph,N/A,	 ,Scattered Clouds
12:53 PM,73.0 °F,27.0 °F,18%,30.30 in,10.0 mi,NW,25.3 mph,29.9 mph,N/A,	 ,Scattered Clouds
1:53 PM,73.0 °F,26.1 °F,17%,30.27 in,10.0 mi,NW,27.6 mph,35.7 mph,N/A,	 ,Scattered Clouds
2:53 PM,73.0 °F,21.9 °F,15%,30.24 in,10.0 mi,NW,24.2 mph,34.5 mph,0.00 in,	 ,Partly Cloudy
3:53 PM,73.0 °F,21.0 °F,14%,30.23 in,10.0 mi,NW,24.2 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,72.0 °F,19.9 °F,14%,30.22 in,10.0 mi,NW,25.3 mph,32.2 mph,N/A,	 ,Partly Cloudy
5:53 PM,70.0 °F,21.0 °F,16%,30.21 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,66.0 °F,25.0 °F,21%,30.23 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,64.0 °F,26.1 °F,24%,30.25 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,61.0 °F,28.9 °F,30%,30.26 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,60.1 °F,30.0 °F,32%,30.26 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,60.1 °F,26.1 °F,27%,30.25 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.9 °F,28.0 °F,32%,30.25 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
