Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,59.0 °F,42.1 °F,53%,29.87 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
1:53 AM,57.9 °F,43.0 °F,58%,29.85 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
2:53 AM,57.0 °F,43.0 °F,59%,29.85 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
3:53 AM,54.0 °F,43.0 °F,66%,29.83 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
4:53 AM,54.0 °F,42.1 °F,64%,29.82 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
5:53 AM,53.1 °F,42.1 °F,66%,29.82 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
6:53 AM,52.0 °F,42.1 °F,69%,29.82 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
7:53 AM,52.0 °F,42.1 °F,69%,29.81 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
8:22 AM,54.0 °F,42.1 °F,64%,29.82 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
8:53 AM,59.0 °F,42.1 °F,53%,29.80 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Clear
9:53 AM,64.9 °F,41.0 °F,42%,29.80 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Clear
10:53 AM,73.0 °F,41.0 °F,31%,29.77 in,10.0 mi,SSW,23.0 mph,28.8 mph,N/A,	 ,Clear
11:53 AM,78.1 °F,42.1 °F,28%,29.74 in,10.0 mi,South,20.7 mph,  -,N/A,	 ,Clear
12:53 PM,81.0 °F,43.0 °F,26%,29.70 in,10.0 mi,SSW,19.6 mph,  -,N/A,	 ,Clear
1:53 PM,84.0 °F,45.0 °F,25%,29.65 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Clear
2:53 PM,84.9 °F,44.1 °F,24%,29.63 in,10.0 mi,South,20.7 mph,  -,N/A,	 ,Clear
3:53 PM,86.0 °F,43.0 °F,22%,29.61 in,10.0 mi,South,27.6 mph,34.5 mph,N/A,	 ,Clear
4:53 PM,84.9 °F,44.1 °F,24%,29.61 in,10.0 mi,South,18.4 mph,32.2 mph,N/A,	 ,Partly Cloudy
5:53 PM,82.9 °F,45.0 °F,26%,29.62 in,10.0 mi,South,21.9 mph,28.8 mph,N/A,	 ,Partly Cloudy
6:53 PM,79.0 °F,46.0 °F,31%,29.64 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,75.9 °F,46.0 °F,35%,29.66 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,75.0 °F,46.0 °F,36%,29.66 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,73.9 °F,45.0 °F,35%,29.68 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,71.1 °F,45.0 °F,39%,29.71 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
11:53 PM,69.1 °F,46.0 °F,44%,29.72 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
