Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,39.0 °F,32.8 °F,21.0 °F,49%,30.15 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1:53 AM,39.9 °F,34.5 °F,24.1 °F,53%,30.16 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
2:53 AM,37.9 °F,31.5 °F,24.1 °F,57%,30.16 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
3:53 AM,37.9 °F,31.5 °F,24.1 °F,57%,30.16 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
4:53 AM,37.9 °F,31.5 °F,24.1 °F,57%,30.16 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,37.0 °F,31.0 °F,24.1 °F,59%,30.17 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,37.0 °F,29.8 °F,24.1 °F,59%,30.18 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,35.1 °F,27.9 °F,23.0 °F,61%,30.19 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,42.1 °F,35.7 °F,21.0 °F,43%,30.22 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,46.0 °F,40.6 °F,23.0 °F,40%,30.22 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,50.0 °F,  -,21.9 °F,33%,30.22 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,54.0 °F,  -,19.9 °F,26%,30.21 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,55.0 °F,  -,17.1 °F,23%,30.19 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,57.0 °F,  -,14.0 °F,18%,30.16 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,57.9 °F,  -,12.0 °F,16%,30.14 in,10.0 mi,NNW,11.5 mph,16.1 mph,N/A,	 ,Mostly Cloudy
3:53 PM,60.1 °F,  -,10.0 °F,14%,30.12 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,60.1 °F,  -,9.0 °F,13%,30.11 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,59.0 °F,  -,8.1 °F,13%,30.10 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,54.0 °F,  -,10.9 °F,18%,30.10 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,52.0 °F,  -,15.1 °F,23%,30.11 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
8:53 PM,52.0 °F,  -,12.9 °F,21%,30.10 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
9:53 PM,50.0 °F,  -,14.0 °F,24%,30.11 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
10:53 PM,50.0 °F,  -,17.1 °F,27%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,46.0 °F,42.5 °F,21.0 °F,37%,30.09 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
