Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.9 °F,52.0 °F,59%,29.74 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
1:53 AM,64.0 °F,50.0 °F,60%,29.74 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Clear
2:53 AM,64.0 °F,51.1 °F,63%,29.74 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
3:53 AM,63.0 °F,54.0 °F,72%,29.73 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
4:53 AM,63.0 °F,55.0 °F,75%,29.71 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
5:53 AM,60.1 °F,54.0 °F,80%,29.72 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:53 AM,59.0 °F,51.1 °F,75%,29.72 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
7:53 AM,60.1 °F,51.1 °F,72%,29.72 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:53 AM,66.9 °F,57.0 °F,70%,29.73 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:53 AM,73.0 °F,54.0 °F,51%,29.74 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:53 AM,79.0 °F,52.0 °F,39%,29.73 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:53 AM,84.0 °F,48.0 °F,28%,29.71 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
12:53 PM,87.1 °F,37.0 °F,17%,29.68 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:53 PM,88.0 °F,35.1 °F,15%,29.65 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:53 PM,90.0 °F,35.1 °F,14%,29.62 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
3:53 PM,91.0 °F,37.9 °F,15%,29.60 in,10.0 mi,South,8.1 mph,16.1 mph,N/A,	 ,Clear
4:13 PM,90.0 °F,39.0 °F,17%,29.62 in,1.8 mi,SW,12.7 mph,17.3 mph,N/A,	 ,Clear
4:27 PM,90.0 °F,39.0 °F,17%,29.62 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
4:53 PM,90.0 °F,39.9 °F,17%,29.60 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
5:53 PM,89.1 °F,43.0 °F,20%,29.59 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
6:53 PM,84.0 °F,48.0 °F,28%,29.60 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
7:53 PM,82.9 °F,48.9 °F,31%,29.60 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
8:53 PM,82.0 °F,52.0 °F,35%,29.61 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Clear
9:53 PM,78.1 °F,55.0 °F,45%,29.62 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
10:53 PM,75.0 °F,57.9 °F,55%,29.64 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,78.1 °F,62.1 °F,58%,29.64 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
