Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,53.1 °F,  -,35.1 °F,50%,30.22 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Clear
1:53 AM,51.1 °F,  -,28.9 °F,43%,30.24 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Clear
2:53 AM,50.0 °F,  -,28.0 °F,43%,30.27 in,10.0 mi,North,18.4 mph,  -,N/A,	 ,Clear
3:53 AM,46.9 °F,  -,21.0 °F,36%,30.30 in,10.0 mi,North,16.1 mph,24.2 mph,N/A,	 ,Clear
4:53 AM,45.0 °F,37.4 °F,19.0 °F,36%,30.30 in,10.0 mi,North,18.4 mph,  -,N/A,	 ,Clear
5:53 AM,43.0 °F,35.4 °F,19.0 °F,38%,30.31 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,41.0 °F,34.7 °F,19.0 °F,41%,30.34 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,42.1 °F,34.5 °F,19.0 °F,40%,30.38 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,44.1 °F,37.7 °F,21.0 °F,40%,30.38 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,46.0 °F,40.6 °F,21.0 °F,37%,30.38 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,48.0 °F,  -,21.9 °F,36%,30.37 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,51.1 °F,  -,19.9 °F,29%,30.35 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,53.1 °F,  -,18.0 °F,25%,30.32 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,55.9 °F,  -,19.0 °F,24%,30.30 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,55.9 °F,  -,17.1 °F,22%,30.28 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,55.9 °F,  -,18.0 °F,23%,30.27 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,54.0 °F,  -,19.9 °F,26%,30.27 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,51.1 °F,  -,21.0 °F,31%,30.27 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,50.0 °F,  -,21.0 °F,32%,30.25 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
7:53 PM,48.0 °F,  -,21.9 °F,36%,30.26 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
8:53 PM,48.9 °F,  -,21.9 °F,35%,30.26 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Clear
9:53 PM,45.0 °F,  -,23.0 °F,42%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:53 PM,46.9 °F,  -,21.9 °F,37%,30.24 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:53 PM,42.1 °F,40.2 °F,28.0 °F,58%,30.24 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
