Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,53.1 °F,39.0 °F,59%,29.81 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,50.0 °F,39.0 °F,66%,29.80 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,52.0 °F,39.9 °F,63%,29.81 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,50.0 °F,39.9 °F,68%,29.84 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,50.0 °F,42.1 °F,74%,29.86 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,48.9 °F,41.0 °F,74%,29.88 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,48.9 °F,42.1 °F,77%,29.91 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,51.1 °F,43.0 °F,74%,29.96 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,55.9 °F,46.0 °F,69%,29.98 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,61.0 °F,46.9 °F,60%,30.00 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,64.9 °F,48.0 °F,54%,30.02 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,69.1 °F,46.9 °F,45%,30.02 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,71.1 °F,46.0 °F,41%,30.00 in,10.0 mi,NE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,75.0 °F,45.0 °F,34%,30.01 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,75.9 °F,43.0 °F,31%,30.00 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,73.0 °F,42.1 °F,33%,30.01 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,69.1 °F,42.1 °F,38%,30.04 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,66.0 °F,43.0 °F,43%,30.08 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,64.0 °F,44.1 °F,48%,30.11 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,64.9 °F,42.1 °F,43%,30.13 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,62.1 °F,41.0 °F,46%,30.15 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,60.1 °F,39.9 °F,47%,30.17 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,55.9 °F,39.9 °F,55%,30.18 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,55.9 °F,37.9 °F,51%,30.18 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
