Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,52.0 °F,37.0 °F,57%,30.19 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
1:53 AM,52.0 °F,36.0 °F,54%,30.19 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
2:53 AM,50.0 °F,36.0 °F,59%,30.21 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
3:53 AM,48.9 °F,36.0 °F,61%,30.22 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
4:53 AM,48.0 °F,36.0 °F,63%,30.22 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
5:53 AM,48.0 °F,36.0 °F,63%,30.24 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
6:53 AM,46.9 °F,36.0 °F,66%,30.26 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,51.1 °F,37.9 °F,61%,30.28 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,57.0 °F,39.0 °F,51%,30.29 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,60.1 °F,42.1 °F,51%,30.30 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,63.0 °F,43.0 °F,48%,30.30 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,66.9 °F,44.1 °F,44%,30.27 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,71.1 °F,45.0 °F,39%,30.25 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,72.0 °F,45.0 °F,38%,30.22 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,72.0 °F,45.0 °F,38%,30.19 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,72.0 °F,45.0 °F,38%,30.18 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,68.0 °F,46.0 °F,45%,30.18 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:53 PM,64.9 °F,46.0 °F,50%,30.17 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,62.1 °F,46.0 °F,56%,30.18 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,59.0 °F,46.0 °F,62%,30.18 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,60.1 °F,45.0 °F,57%,30.17 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,57.9 °F,44.1 °F,60%,30.17 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,55.0 °F,44.1 °F,67%,30.16 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,55.0 °F,43.0 °F,64%,30.14 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
