Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,54.0 °F,41.0 °F,62%,30.13 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,55.9 °F,43.0 °F,62%,30.12 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,54.0 °F,42.1 °F,64%,30.12 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,51.1 °F,42.1 °F,71%,30.11 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,52.0 °F,43.0 °F,71%,30.12 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,51.1 °F,43.0 °F,74%,30.13 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,51.1 °F,42.1 °F,71%,30.14 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,55.0 °F,44.1 °F,67%,30.14 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,61.0 °F,41.0 °F,48%,30.13 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,64.9 °F,43.0 °F,45%,30.13 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Clear
10:53 AM,69.1 °F,48.0 °F,47%,30.12 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Clear
11:53 AM,73.0 °F,52.0 °F,48%,30.07 in,10.0 mi,SSW,17.3 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,75.0 °F,54.0 °F,48%,30.03 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,75.9 °F,54.0 °F,46%,30.00 in,10.0 mi,South,15.0 mph,24.2 mph,N/A,	 ,Partly Cloudy
2:53 PM,75.9 °F,53.1 °F,45%,29.97 in,10.0 mi,South,19.6 mph,  -,0.00 in,	 ,Partly Cloudy
3:53 PM,75.0 °F,52.0 °F,44%,29.96 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,73.0 °F,50.0 °F,44%,29.95 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,70.0 °F,48.9 °F,47%,29.95 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Clear
6:53 PM,68.0 °F,48.9 °F,50%,29.95 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Clear
7:53 PM,66.0 °F,48.9 °F,54%,29.96 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Clear
8:53 PM,64.9 °F,48.0 °F,54%,29.97 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Clear
9:53 PM,64.0 °F,48.0 °F,56%,29.97 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Clear
10:53 PM,63.0 °F,46.9 °F,56%,29.96 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Clear
11:53 PM,63.0 °F,45.0 °F,52%,29.94 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Clear
