Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,44.1 °F,42.5 °F,25.0 °F,47%,30.25 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,43.0 °F,41.3 °F,24.1 °F,47%,30.25 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,46.9 °F,  -,24.1 °F,41%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:53 AM,42.1 °F,  -,24.1 °F,49%,30.24 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:53 AM,39.9 °F,36.7 °F,25.0 °F,55%,30.23 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
5:53 AM,39.0 °F,36.8 °F,26.1 °F,60%,30.23 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,39.0 °F,34.0 °F,27.0 °F,62%,30.24 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,39.9 °F,35.8 °F,28.0 °F,63%,30.25 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,50.0 °F,  -,27.0 °F,41%,30.24 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,59.0 °F,  -,23.0 °F,25%,30.23 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,68.0 °F,  -,19.9 °F,16%,30.20 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,73.0 °F,  -,18.0 °F,12%,30.16 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,77.0 °F,  -,15.1 °F,10%,30.12 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,79.0 °F,  -,14.0 °F,9%,30.09 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,79.0 °F,  -,12.9 °F,8%,30.08 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,78.1 °F,  -,10.0 °F,7%,30.06 in,10.0 mi,WSW,13.8 mph,23.0 mph,N/A,	 ,Scattered Clouds
4:53 PM,75.0 °F,  -,10.9 °F,9%,30.08 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,72.0 °F,  -,14.0 °F,11%,30.09 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,72.0 °F,  -,15.1 °F,11%,30.10 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,66.0 °F,  -,16.0 °F,15%,30.12 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
8:53 PM,64.0 °F,  -,18.0 °F,17%,30.13 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,55.9 °F,  -,21.9 °F,27%,30.16 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,54.0 °F,  -,21.0 °F,28%,30.19 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,50.0 °F,  -,24.1 °F,36%,30.20 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
