Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,39.9 °F,35.8 °F,28.0 °F,63%,30.41 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
1:21 AM,39.9 °F,36.7 °F,28.0 °F,63%,30.40 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
1:53 AM,39.9 °F,35.8 °F,27.0 °F,60%,30.40 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
2:53 AM,39.9 °F,35.8 °F,28.0 °F,63%,30.39 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
3:53 AM,39.9 °F,36.7 °F,27.0 °F,60%,30.37 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
4:11 AM,39.9 °F,35.8 °F,27.0 °F,60%,30.37 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
4:53 AM,39.9 °F,37.8 °F,27.0 °F,60%,30.37 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
5:53 AM,39.9 °F,37.8 °F,27.0 °F,60%,30.37 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
6:53 AM,39.9 °F,35.8 °F,28.0 °F,63%,30.36 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
7:53 AM,39.9 °F,33.9 °F,28.0 °F,63%,30.35 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Overcast
8:53 AM,39.9 °F,34.5 °F,28.9 °F,65%,30.35 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
9:53 AM,41.0 °F,36.4 °F,30.0 °F,65%,30.35 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
10:53 AM,42.1 °F,37.7 °F,32.0 °F,67%,30.35 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Overcast
11:53 AM,44.1 °F,39.5 °F,34.0 °F,68%,30.31 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
12:49 PM,44.6 °F,40.2 °F,35.6 °F,71%,30.26 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
12:53 PM,45.0 °F,40.1 °F,36.0 °F,71%,30.25 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Overcast
1:53 PM,46.9 °F,  -,37.0 °F,68%,30.20 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
2:53 PM,48.0 °F,  -,36.0 °F,63%,30.16 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
3:53 PM,48.0 °F,  -,37.0 °F,66%,30.14 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
4:53 PM,48.9 °F,  -,39.0 °F,69%,30.15 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
5:53 PM,48.0 °F,  -,41.0 °F,77%,30.15 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
6:53 PM,48.0 °F,  -,41.0 °F,77%,30.14 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
7:53 PM,48.0 °F,  -,42.1 °F,80%,30.15 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
8:25 PM,48.0 °F,  -,42.1 °F,80%,30.15 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
8:53 PM,48.0 °F,  -,42.1 °F,80%,30.15 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Overcast
9:23 PM,48.0 °F,  -,43.0 °F,83%,30.15 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
9:53 PM,48.0 °F,  -,43.0 °F,83%,30.15 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Overcast
10:24 PM,48.0 °F,  -,43.0 °F,83%,30.15 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
10:53 PM,48.0 °F,  -,43.0 °F,83%,30.16 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
11:53 PM,48.0 °F,  -,42.1 °F,80%,30.17 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
