Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,48.0 °F,  -,42.1 °F,80%,30.15 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
1:53 AM,48.0 °F,  -,42.1 °F,80%,30.15 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
2:53 AM,48.0 °F,  -,43.0 °F,83%,30.14 in,9.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
3:53 AM,48.0 °F,  -,43.0 °F,83%,30.14 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
4:42 AM,48.0 °F,  -,43.0 °F,83%,30.15 in,8.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
4:53 AM,48.0 °F,  -,43.0 °F,83%,30.15 in,8.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
5:53 AM,48.0 °F,  -,43.0 °F,83%,30.17 in,7.0 mi,NNE,6.9 mph,  -,N/A,	 ,Overcast
6:53 AM,46.9 °F,  -,44.1 °F,90%,30.18 in,4.0 mi,NE,9.2 mph,  -,0.00 in,	 ,Light Drizzle
7:53 AM,46.9 °F,  -,44.1 °F,90%,30.21 in,3.0 mi,NE,8.1 mph,  -,0.00 in,	 ,Light Drizzle
8:05 AM,46.9 °F,  -,44.1 °F,90%,30.21 in,2.5 mi,NE,9.2 mph,  -,0.00 in,	 ,Light Drizzle
8:53 AM,46.0 °F,41.4 °F,44.1 °F,93%,30.22 in,1.5 mi,NNE,9.2 mph,  -,0.00 in,	 ,Light Drizzle
9:38 AM,46.9 °F,  -,44.1 °F,90%,30.24 in,2.5 mi,NNE,11.5 mph,  -,0.00 in,	 ,Light Drizzle
9:53 AM,46.9 °F,  -,44.1 °F,90%,30.24 in,2.5 mi,NE,12.7 mph,  -,0.00 in,	 ,Light Drizzle
10:01 AM,46.9 °F,  -,43.0 °F,86%,30.24 in,4.0 mi,NNE,11.5 mph,  -,0.00 in,	 ,Light Drizzle
10:17 AM,46.9 °F,  -,43.0 °F,86%,30.25 in,5.0 mi,NE,11.5 mph,  -,0.00 in,	 ,Light Drizzle
10:44 AM,46.0 °F,40.2 °F,43.0 °F,89%,30.25 in,3.0 mi,NE,12.7 mph,  -,0.00 in,	 ,Light Drizzle
10:53 AM,46.0 °F,41.0 °F,43.0 °F,89%,30.25 in,3.0 mi,NNE,10.4 mph,  -,0.00 in,	 ,Light Drizzle
11:10 AM,46.0 °F,41.0 °F,43.0 °F,89%,30.25 in,2.0 mi,NNE,10.4 mph,  -,0.00 in,Rain,Light Rain
11:53 AM,46.0 °F,39.6 °F,42.1 °F,86%,30.24 in,3.0 mi,NE,15.0 mph,  -,0.00 in,	 ,Light Drizzle
12:14 PM,46.9 °F,  -,42.1 °F,83%,30.23 in,7.0 mi,NE,12.7 mph,  -,0.00 in,	 ,Overcast
12:53 PM,46.9 °F,  -,39.9 °F,77%,30.21 in,9.0 mi,NNE,11.5 mph,  -,0.00 in,	 ,Overcast
1:46 PM,43.0 °F,34.8 °F,37.0 °F,80%,30.20 in,3.0 mi,North,18.4 mph,  -,0.00 in,	 ,Light Drizzle
1:53 PM,42.1 °F,33.3 °F,37.0 °F,82%,30.20 in,3.0 mi,North,19.6 mph,  -,0.00 in,	 ,Light Drizzle
2:53 PM,41.0 °F,32.2 °F,34.0 °F,76%,30.21 in,5.0 mi,North,18.4 mph,  -,0.00 in,	 ,Light Drizzle
3:53 PM,39.9 °F,31.8 °F,35.1 °F,83%,30.21 in,3.0 mi,North,15.0 mph,  -,0.00 in,	 ,Light Drizzle
4:53 PM,39.0 °F,31.4 °F,33.1 °F,79%,30.22 in,6.0 mi,North,12.7 mph,  -,0.00 in,	 ,Light Drizzle
5:53 PM,39.0 °F,32.3 °F,32.0 °F,76%,30.21 in,9.0 mi,North,10.4 mph,  -,0.00 in,	 ,Overcast
6:09 PM,37.9 °F,29.6 °F,32.0 °F,79%,30.21 in,9.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
6:49 PM,37.4 °F,29.8 °F,30.2 °F,75%,30.22 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Overcast
6:53 PM,37.9 °F,30.0 °F,30.9 °F,76%,30.22 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Overcast
7:53 PM,37.0 °F,29.3 °F,30.0 °F,76%,30.23 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Overcast
8:24 PM,37.0 °F,29.3 °F,30.0 °F,76%,30.23 in,9.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
8:45 PM,36.0 °F,28.0 °F,30.0 °F,79%,30.23 in,9.0 mi,NNE,11.5 mph,  -,N/A,	 ,Overcast
8:53 PM,36.0 °F,29.0 °F,30.0 °F,79%,30.24 in,9.0 mi,NNE,9.2 mph,  -,N/A,	 ,Overcast
9:53 PM,36.0 °F,28.5 °F,30.0 °F,79%,30.23 in,8.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
