Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,51.1 °F,  -,24.1 °F,35%,30.33 in,10.0 mi,NNE,18.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,48.9 °F,  -,24.1 °F,38%,30.32 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,48.0 °F,  -,26.1 °F,42%,30.33 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,46.9 °F,  -,27.0 °F,46%,30.33 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
4:53 AM,46.0 °F,42.5 °F,28.0 °F,50%,30.32 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Overcast
5:53 AM,46.0 °F,40.2 °F,27.0 °F,47%,30.32 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,45.0 °F,36.4 °F,25.0 °F,46%,30.36 in,10.0 mi,North,23.0 mph,27.6 mph,N/A,	 ,Mostly Cloudy
7:53 AM,42.1 °F,32.6 °F,26.1 °F,53%,30.38 in,10.0 mi,NNE,23.0 mph,33.4 mph,N/A,	 ,Overcast
8:53 AM,39.9 °F,29.2 °F,23.0 °F,51%,30.40 in,10.0 mi,NNE,25.3 mph,33.4 mph,N/A,	 ,Overcast
9:53 AM,39.9 °F,30.2 °F,19.9 °F,45%,30.44 in,10.0 mi,North,20.7 mph,  -,N/A,	 ,Overcast
10:53 AM,39.9 °F,31.4 °F,19.9 °F,45%,30.46 in,10.0 mi,North,16.1 mph,24.2 mph,N/A,	 ,Overcast
11:53 AM,39.0 °F,29.9 °F,15.1 °F,38%,30.45 in,10.0 mi,North,17.3 mph,25.3 mph,N/A,	 ,Overcast
12:53 PM,39.9 °F,31.4 °F,15.1 °F,36%,30.42 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Overcast
1:53 PM,41.0 °F,32.5 °F,14.0 °F,33%,30.39 in,10.0 mi,North,17.3 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,41.0 °F,32.2 °F,12.0 °F,31%,30.37 in,10.0 mi,NNW,18.4 mph,25.3 mph,N/A,	 ,Overcast
3:53 PM,39.9 °F,32.1 °F,10.9 °F,31%,30.35 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,39.0 °F,29.9 °F,10.9 °F,32%,30.35 in,10.0 mi,North,17.3 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,37.0 °F,31.0 °F,12.0 °F,36%,30.35 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,39.0 °F,31.8 °F,10.9 °F,32%,30.36 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
7:53 PM,37.9 °F,30.0 °F,12.0 °F,35%,30.35 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,37.0 °F,28.5 °F,12.0 °F,36%,30.37 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,36.0 °F,27.1 °F,12.9 °F,39%,30.36 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
10:53 PM,35.1 °F,28.6 °F,14.0 °F,42%,30.36 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
11:53 PM,33.1 °F,26.1 °F,16.0 °F,50%,30.35 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
