Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,43.0 °F,38.2 °F,43.0 °F,100%,30.28 in,0.5 mi,North,8.1 mph,  -,N/A,Fog,Fog
1:49 AM,42.8 °F,39.3 °F,42.8 °F,100%,30.27 in,0.5 mi,NNE,5.8 mph,  -,N/A,Fog,Fog
1:53 AM,43.0 °F,39.5 °F,43.0 °F,100%,30.27 in,0.5 mi,NNE,5.8 mph,  -,N/A,Fog,Fog
2:30 AM,43.0 °F,38.8 °F,43.0 °F,100%,30.25 in,0.2 mi,NNE,6.9 mph,  -,N/A,Fog,Fog
2:53 AM,43.0 °F,39.5 °F,43.0 °F,100%,30.25 in,0.2 mi,North,5.8 mph,  -,N/A,Fog,Fog
3:49 AM,42.8 °F,38.6 °F,42.8 °F,100%,30.24 in,0.5 mi,North,6.9 mph,  -,N/A,Fog,Fog
3:53 AM,43.0 °F,38.8 °F,43.0 °F,100%,30.24 in,0.5 mi,North,6.9 mph,  -,N/A,Fog,Fog
4:53 AM,43.0 °F,38.8 °F,43.0 °F,100%,30.22 in,0.5 mi,North,6.9 mph,  -,N/A,	 ,Overcast
5:53 AM,43.0 °F,39.5 °F,43.0 °F,100%,30.20 in,0.5 mi,North,5.8 mph,  -,N/A,Fog,Fog
6:53 AM,44.1 °F,40.1 °F,44.1 °F,100%,30.19 in,0.5 mi,NNE,6.9 mph,  -,N/A,	 ,Mist
7:20 AM,44.1 °F,41.5 °F,44.1 °F,100%,30.19 in,0.1 mi,NNE,4.6 mph,  -,N/A,Fog,Fog
7:26 AM,44.1 °F,40.8 °F,44.1 °F,100%,30.18 in,0.1 mi,North,5.8 mph,  -,N/A,Fog,Fog
7:31 AM,44.1 °F,40.8 °F,44.1 °F,100%,30.18 in,0.1 mi,NNE,5.8 mph,  -,N/A,Fog,Fog
7:53 AM,44.1 °F,40.1 °F,44.1 °F,100%,30.17 in,0.1 mi,North,6.9 mph,  -,N/A,Fog,Fog
8:53 AM,45.0 °F,42.6 °F,45.0 °F,100%,30.18 in,0.1 mi,NNW,4.6 mph,  -,N/A,Fog,Fog
9:53 AM,46.0 °F,  -,46.0 °F,100%,30.18 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
10:30 AM,48.0 °F,  -,48.0 °F,100%,30.18 in,0.1 mi,North,4.6 mph,  -,0.00 in,	 ,Light Drizzle
10:53 AM,48.0 °F,  -,48.0 °F,100%,30.17 in,0.2 mi,North,3.5 mph,  -,0.00 in,	 ,Light Drizzle
11:53 AM,48.9 °F,  -,48.9 °F,100%,30.12 in,0.2 mi,North,4.6 mph,  -,0.00 in,	 ,Light Drizzle
12:20 PM,50.0 °F,  -,50.0 °F,100%,30.08 in,0.2 mi,North,5.8 mph,  -,0.00 in,Fog,Light Drizzle
12:35 PM,50.0 °F,  -,50.0 °F,100%,30.07 in,0.2 mi,NNE,5.8 mph,  -,0.00 in,Fog,Light Drizzle
