Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.0 °F,42.1 °F,57%,29.37 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,57.9 °F,39.0 °F,49%,29.36 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,55.9 °F,35.1 °F,45%,29.36 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,55.0 °F,34.0 °F,45%,29.37 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,53.1 °F,33.1 °F,47%,29.37 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,52.0 °F,33.1 °F,49%,29.39 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,53.1 °F,36.0 °F,52%,29.41 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,52.0 °F,39.0 °F,61%,29.46 in,10.0 mi,WNW,18.4 mph,25.3 mph,N/A,	 ,Partly Cloudy
8:53 AM,51.1 °F,39.9 °F,66%,29.51 in,10.0 mi,WNW,23.0 mph,32.2 mph,N/A,	 ,Partly Cloudy
9:13 AM,52.0 °F,42.1 °F,69%,29.54 in,10.0 mi,NW,23.0 mph,31.1 mph,N/A,	 ,Overcast
9:53 AM,54.0 °F,44.1 °F,69%,29.57 in,10.0 mi,WNW,23.0 mph,31.1 mph,N/A,	 ,Mostly Cloudy
10:53 AM,57.9 °F,46.0 °F,65%,29.60 in,10.0 mi,NW,27.6 mph,41.4 mph,N/A,	 ,Mostly Cloudy
11:01 AM,59.0 °F,46.0 °F,62%,29.62 in,10.0 mi,NW,27.6 mph,42.6 mph,N/A,	 ,Mostly Cloudy
11:53 AM,57.9 °F,45.0 °F,62%,29.63 in,10.0 mi,NW,23.0 mph,31.1 mph,N/A,	 ,Overcast
12:53 PM,60.1 °F,45.0 °F,57%,29.65 in,10.0 mi,NW,27.6 mph,38.0 mph,N/A,	 ,Overcast
1:53 PM,64.0 °F,44.1 °F,48%,29.65 in,10.0 mi,NNW,28.8 mph,40.3 mph,N/A,	 ,Mostly Cloudy
2:53 PM,66.0 °F,37.0 °F,34%,29.66 in,10.0 mi,NNW,32.2 mph,44.9 mph,N/A,	 ,Partly Cloudy
3:53 PM,66.0 °F,34.0 °F,30%,29.71 in,10.0 mi,NNW,35.7 mph,43.7 mph,N/A,	 ,Partly Cloudy
4:53 PM,64.0 °F,36.0 °F,35%,29.76 in,10.0 mi,NNW,24.2 mph,35.7 mph,N/A,	 ,Clear
5:53 PM,61.0 °F,36.0 °F,39%,29.81 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
6:53 PM,57.0 °F,37.9 °F,49%,29.84 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
7:53 PM,55.9 °F,37.9 °F,51%,29.87 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
8:53 PM,55.9 °F,37.9 °F,51%,29.88 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
9:53 PM,53.1 °F,37.9 °F,57%,29.90 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
10:53 PM,52.0 °F,37.0 °F,57%,29.93 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
11:53 PM,48.0 °F,37.0 °F,66%,29.93 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
