Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,69.1 °F,59.0 °F,70%,29.54 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,68.0 °F,59.0 °F,73%,29.55 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,63.0 °F,57.0 °F,81%,29.54 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,61.0 °F,57.0 °F,87%,29.56 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
4:45 AM,64.0 °F,46.9 °F,54%,29.62 in,10.0 mi,NNW,21.9 mph,25.3 mph,N/A,	 ,Clear
4:53 AM,59.0 °F,43.0 °F,55%,29.60 in,10.0 mi,NNW,21.9 mph,  -,N/A,	 ,Clear
5:53 AM,53.1 °F,42.1 °F,66%,29.66 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,50.0 °F,41.0 °F,71%,29.70 in,10.0 mi,NNW,21.9 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,48.9 °F,39.9 °F,71%,29.76 in,10.0 mi,NW,21.9 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,50.0 °F,39.0 °F,66%,29.81 in,10.0 mi,NW,23.0 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,53.1 °F,37.0 °F,55%,29.84 in,10.0 mi,NNW,20.7 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,55.0 °F,35.1 °F,47%,29.86 in,10.0 mi,NNW,18.4 mph,25.3 mph,N/A,	 ,Partly Cloudy
11:53 AM,57.9 °F,35.1 °F,42%,29.86 in,10.0 mi,NW,18.4 mph,25.3 mph,N/A,	 ,Partly Cloudy
12:53 PM,59.0 °F,35.1 °F,41%,29.86 in,10.0 mi,NW,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
1:53 PM,60.1 °F,33.1 °F,36%,29.84 in,10.0 mi,NW,12.7 mph,23.0 mph,N/A,	 ,Partly Cloudy
2:53 PM,63.0 °F,32.0 °F,31%,29.84 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
3:53 PM,63.0 °F,30.9 °F,30%,29.85 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
4:53 PM,62.1 °F,30.0 °F,30%,29.87 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
5:53 PM,60.1 °F,30.0 °F,32%,29.91 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
6:53 PM,57.0 °F,30.0 °F,36%,29.95 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
7:53 PM,55.0 °F,30.0 °F,38%,29.99 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
8:53 PM,53.1 °F,30.9 °F,43%,30.01 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
9:53 PM,51.1 °F,30.0 °F,44%,30.04 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Clear
10:53 PM,50.0 °F,28.0 °F,43%,30.06 in,10.0 mi,NNE,17.3 mph,  -,N/A,	 ,Clear
11:53 PM,48.0 °F,27.0 °F,44%,30.07 in,10.0 mi,NNE,20.7 mph,  -,N/A,	 ,Clear
