Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,69.1 °F,  -,61.0 °F,75%,30.02 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Clear
1:53 AM,70.0 °F,  -,60.1 °F,71%,30.02 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Clear
2:53 AM,70.0 °F,  -,61.0 °F,73%,30.00 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
3:53 AM,69.1 °F,  -,61.0 °F,75%,30.00 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Clear
4:53 AM,66.9 °F,  -,62.1 °F,84%,29.99 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Partly Cloudy
5:36 AM,66.0 °F,  -,62.1 °F,87%,30.01 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,66.0 °F,  -,62.1 °F,87%,29.99 in,10.0 mi,South,13.8 mph,24.2 mph,N/A,	 ,Scattered Clouds
6:00 AM,66.0 °F,  -,62.1 °F,87%,30.01 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
6:31 AM,66.9 °F,  -,61.0 °F,81%,30.01 in,10.0 mi,South,15.0 mph,24.2 mph,N/A,	 ,Mostly Cloudy
6:53 AM,66.0 °F,  -,62.1 °F,87%,29.99 in,10.0 mi,South,13.8 mph,20.7 mph,N/A,	 ,Mostly Cloudy
7:53 AM,66.9 °F,  -,62.1 °F,84%,30.00 in,10.0 mi,South,18.4 mph,26.5 mph,N/A,	 ,Mostly Cloudy
8:53 AM,69.1 °F,  -,61.0 °F,75%,30.00 in,10.0 mi,South,23.0 mph,29.9 mph,N/A,	 ,Mostly Cloudy
9:15 AM,69.1 °F,  -,61.0 °F,75%,30.02 in,10.0 mi,South,24.2 mph,32.2 mph,N/A,	 ,Scattered Clouds
9:53 AM,71.1 °F,  -,61.0 °F,70%,30.01 in,10.0 mi,South,24.2 mph,32.2 mph,N/A,	 ,Scattered Clouds
10:53 AM,73.9 °F,  -,59.0 °F,59%,30.02 in,10.0 mi,South,26.5 mph,34.5 mph,N/A,	 ,Scattered Clouds
11:53 AM,78.1 °F,  -,57.0 °F,48%,30.02 in,10.0 mi,South,23.0 mph,32.2 mph,N/A,	 ,Partly Cloudy
12:53 PM,80.1 °F,80.2 °F,55.9 °F,43%,29.99 in,10.0 mi,South,27.6 mph,35.7 mph,N/A,	 ,Partly Cloudy
1:53 PM,84.0 °F,82.5 °F,53.1 °F,34%,29.96 in,10.0 mi,South,29.9 mph,38.0 mph,N/A,	 ,Partly Cloudy
2:53 PM,84.9 °F,  -,50.0 °F,30%,29.91 in,10.0 mi,South,29.9 mph,42.6 mph,N/A,	 ,Partly Cloudy
3:53 PM,86.0 °F,  -,51.1 °F,30%,29.88 in,10.0 mi,South,31.1 mph,39.1 mph,N/A,	 ,Partly Cloudy
4:53 PM,84.9 °F,  -,46.9 °F,27%,29.85 in,10.0 mi,South,29.9 mph,39.1 mph,N/A,	 ,Partly Cloudy
5:53 PM,84.0 °F,  -,48.9 °F,29%,29.84 in,10.0 mi,South,24.2 mph,41.4 mph,N/A,	 ,Partly Cloudy
6:53 PM,82.0 °F,  -,50.0 °F,33%,29.83 in,10.0 mi,SSE,28.8 mph,38.0 mph,N/A,	 ,Partly Cloudy
7:53 PM,80.1 °F,  -,46.0 °F,30%,29.83 in,10.0 mi,South,25.3 mph,42.6 mph,N/A,	 ,Scattered Clouds
8:53 PM,78.1 °F,  -,43.0 °F,29%,29.83 in,10.0 mi,South,24.2 mph,41.4 mph,N/A,	 ,Partly Cloudy
9:53 PM,77.0 °F,  -,43.0 °F,30%,29.84 in,10.0 mi,SSE,28.8 mph,40.3 mph,N/A,	 ,Partly Cloudy
10:53 PM,75.0 °F,  -,46.0 °F,36%,29.85 in,10.0 mi,South,23.0 mph,38.0 mph,N/A,	 ,Scattered Clouds
11:53 PM,72.0 °F,  -,52.0 °F,49%,29.84 in,10.0 mi,South,29.9 mph,39.1 mph,N/A,	 ,Scattered Clouds
