Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,66.9 °F,  -,64.9 °F,93%,30.02 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
1:53 AM,66.0 °F,  -,64.0 °F,93%,30.01 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
2:53 AM,64.9 °F,  -,64.0 °F,97%,29.99 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:38 AM,66.0 °F,  -,64.9 °F,96%,30.00 in,9.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,66.0 °F,  -,64.9 °F,96%,29.98 in,9.0 mi,SE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,66.9 °F,  -,66.0 °F,97%,29.99 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,66.9 °F,  -,64.9 °F,93%,30.00 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:02 AM,68.0 °F,  -,64.9 °F,90%,30.02 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:35 AM,68.0 °F,  -,64.9 °F,90%,30.01 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,68.0 °F,  -,64.9 °F,90%,29.99 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:09 AM,68.0 °F,  -,64.9 °F,90%,30.02 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,68.0 °F,  -,64.9 °F,90%,30.01 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:42 AM,69.1 °F,  -,64.9 °F,87%,30.04 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,69.1 °F,  -,64.9 °F,87%,30.02 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:32 AM,71.1 °F,  -,64.9 °F,81%,30.05 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,71.1 °F,  -,64.9 °F,81%,30.03 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
10:53 AM,73.0 °F,  -,64.0 °F,73%,30.04 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Overcast
11:17 AM,73.9 °F,  -,64.0 °F,71%,30.05 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:38 AM,73.9 °F,  -,64.0 °F,71%,30.05 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,73.9 °F,  -,64.0 °F,71%,30.03 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:26 PM,75.9 °F,  -,64.9 °F,69%,30.04 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,78.1 °F,  -,64.9 °F,64%,30.01 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,79.0 °F,  -,64.0 °F,60%,29.99 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,82.0 °F,83.4 °F,64.0 °F,54%,29.96 in,10.0 mi,South,16.1 mph,25.3 mph,N/A,	 ,Mostly Cloudy
3:53 PM,82.9 °F,83.7 °F,62.1 °F,49%,29.94 in,10.0 mi,South,21.9 mph,29.9 mph,N/A,	 ,Mostly Cloudy
4:53 PM,81.0 °F,82.5 °F,64.0 °F,56%,29.93 in,10.0 mi,South,17.3 mph,25.3 mph,N/A,	 ,Mostly Cloudy
5:53 PM,82.0 °F,83.8 °F,64.9 °F,56%,29.93 in,10.0 mi,South,13.8 mph,23.0 mph,N/A,	 ,Mostly Cloudy
6:53 PM,81.0 °F,82.7 °F,64.9 °F,58%,29.93 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,79.0 °F,  -,64.9 °F,62%,29.93 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,78.1 °F,  -,66.0 °F,66%,29.93 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,75.9 °F,  -,66.0 °F,71%,29.95 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Clear
10:53 PM,75.0 °F,  -,66.9 °F,76%,29.96 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Clear
11:53 PM,73.9 °F,  -,66.9 °F,79%,29.96 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Clear
