Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,75.0 °F,  -,64.9 °F,71%,29.88 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,73.9 °F,  -,64.0 °F,71%,29.87 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,72.0 °F,  -,62.1 °F,71%,29.84 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,73.0 °F,  -,63.0 °F,71%,29.84 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,71.1 °F,  -,63.0 °F,75%,29.85 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,71.1 °F,  -,64.0 °F,78%,29.86 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,70.0 °F,  -,63.0 °F,78%,29.86 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,73.0 °F,  -,62.1 °F,68%,29.89 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,75.9 °F,  -,62.1 °F,62%,29.90 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,79.0 °F,  -,62.1 °F,56%,29.91 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,82.0 °F,83.1 °F,63.0 °F,52%,29.91 in,10.0 mi,South,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
11:53 AM,82.9 °F,84.4 °F,64.0 °F,53%,29.90 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,86.0 °F,86.1 °F,61.0 °F,43%,29.89 in,10.0 mi,South,17.3 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:53 PM,87.1 °F,87.0 °F,61.0 °F,41%,29.86 in,10.0 mi,SSE,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
2:53 PM,88.0 °F,87.1 °F,59.0 °F,37%,29.84 in,10.0 mi,SE,16.1 mph,23.0 mph,N/A,	 ,Scattered Clouds
3:53 PM,89.1 °F,88.0 °F,57.9 °F,35%,29.82 in,10.0 mi,SSE,18.4 mph,27.6 mph,N/A,	 ,Scattered Clouds
4:53 PM,88.0 °F,86.5 °F,55.9 °F,34%,29.81 in,10.0 mi,SSE,16.1 mph,26.5 mph,N/A,	 ,Partly Cloudy
5:53 PM,88.0 °F,86.9 °F,57.9 °F,36%,29.80 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,87.1 °F,86.5 °F,59.0 °F,39%,29.80 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,84.0 °F,83.8 °F,59.0 °F,43%,29.80 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,82.0 °F,82.1 °F,59.0 °F,45%,29.80 in,10.0 mi,SE,18.4 mph,24.2 mph,N/A,	 ,Mostly Cloudy
9:53 PM,80.1 °F,80.7 °F,59.0 °F,48%,29.79 in,10.0 mi,SE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,79.0 °F,  -,59.0 °F,50%,29.81 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,78.1 °F,  -,61.0 °F,56%,29.81 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Scattered Clouds
