Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,81.0 °F,86.7 °F,75.0 °F,82%,29.86 in,10.0 mi,SSE,17.3 mph,25.3 mph,N/A,	 ,Mostly Cloudy
1:53 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.86 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
2:45 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.88 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.85 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:19 AM,79.0 °F,  -,73.9 °F,84%,29.88 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,79.0 °F,  -,73.9 °F,84%,29.85 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:39 AM,79.0 °F,  -,73.9 °F,84%,29.88 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
4:53 AM,79.0 °F,  -,73.9 °F,84%,29.86 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,78.1 °F,  -,73.0 °F,84%,29.87 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,79.0 °F,  -,73.0 °F,82%,29.88 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:11 AM,79.0 °F,  -,73.0 °F,82%,29.91 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.88 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:38 AM,82.0 °F,87.4 °F,73.0 °F,74%,29.92 in,10.0 mi,SSE,18.4 mph,23.0 mph,N/A,	 ,Mostly Cloudy
8:53 AM,82.0 °F,87.9 °F,73.9 °F,76%,29.90 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:43 AM,82.9 °F,88.8 °F,73.0 °F,72%,29.92 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,84.0 °F,90.2 °F,73.0 °F,69%,29.89 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Scattered Clouds
10:12 AM,84.9 °F,91.4 °F,73.0 °F,67%,29.92 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
10:21 AM,84.9 °F,91.4 °F,73.0 °F,67%,29.92 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,86.0 °F,93.0 °F,73.0 °F,65%,29.88 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,88.0 °F,94.7 °F,72.0 °F,59%,29.88 in,10.0 mi,South,18.4 mph,26.5 mph,N/A,	 ,Scattered Clouds
12:53 PM,90.0 °F,96.4 °F,71.1 °F,54%,29.86 in,10.0 mi,SSE,15.0 mph,25.3 mph,N/A,	 ,Scattered Clouds
1:53 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.85 in,10.0 mi,South,20.7 mph,26.5 mph,N/A,	 ,Scattered Clouds
2:53 PM,91.9 °F,98.4 °F,71.1 °F,50%,29.83 in,10.0 mi,South,20.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,93.0 °F,100.7 °F,72.0 °F,50%,29.81 in,10.0 mi,South,19.6 mph,25.3 mph,N/A,	 ,Mostly Cloudy
4:53 PM,91.9 °F,99.5 °F,72.0 °F,52%,29.79 in,10.0 mi,South,19.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,91.9 °F,99.5 °F,72.0 °F,52%,29.78 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,91.0 °F,98.2 °F,72.0 °F,53%,29.76 in,10.0 mi,South,17.3 mph,24.2 mph,N/A,	 ,Partly Cloudy
7:53 PM,89.1 °F,97.0 °F,73.0 °F,59%,29.77 in,10.0 mi,SSE,20.7 mph,27.6 mph,N/A,	 ,Partly Cloudy
8:53 PM,88.0 °F,94.7 °F,72.0 °F,59%,29.79 in,10.0 mi,SSE,17.3 mph,21.9 mph,N/A,	 ,Partly Cloudy
9:53 PM,86.0 °F,92.2 °F,72.0 °F,63%,29.80 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,84.0 °F,90.2 °F,73.0 °F,69%,29.82 in,10.0 mi,SSE,18.4 mph,23.0 mph,N/A,	 ,Partly Cloudy
11:53 PM,82.9 °F,88.8 °F,73.0 °F,72%,29.82 in,10.0 mi,SSE,17.3 mph,27.6 mph,N/A,	 ,Partly Cloudy
