Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,82.9 °F,88.0 °F,72.0 °F,69%,30.06 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
1:53 AM,84.9 °F,90.7 °F,72.0 °F,65%,30.05 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
2:53 AM,82.9 °F,88.8 °F,73.0 °F,72%,30.04 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
3:53 AM,82.9 °F,88.0 °F,72.0 °F,69%,30.03 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
4:53 AM,82.0 °F,86.7 °F,72.0 °F,71%,30.04 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
5:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,30.04 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,30.06 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,82.9 °F,88.8 °F,73.0 °F,72%,30.07 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,87.1 °F,94.5 °F,73.0 °F,63%,30.08 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,89.1 °F,96.0 °F,72.0 °F,57%,30.09 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,91.9 °F,99.5 °F,72.0 °F,52%,30.09 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,93.9 °F,102.1 °F,72.0 °F,49%,30.09 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,96.1 °F,102.9 °F,70.0 °F,43%,30.08 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,96.1 °F,101.6 °F,69.1 °F,41%,30.06 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,97.0 °F,102.2 °F,68.0 °F,39%,30.03 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,98.1 °F,106.5 °F,71.1 °F,42%,30.01 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,95.0 °F,103.2 °F,72.0 °F,47%,30.00 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,96.1 °F,103.5 °F,71.1 °F,44%,29.99 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,95.0 °F,101.3 °F,70.0 °F,44%,29.98 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,93.0 °F,99.0 °F,70.0 °F,47%,29.99 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,90.0 °F,95.4 °F,70.0 °F,52%,29.99 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,88.0 °F,93.8 °F,71.1 °F,57%,30.00 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,87.1 °F,93.6 °F,72.0 °F,61%,30.02 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,84.9 °F,91.4 °F,73.0 °F,67%,30.03 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
