Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,82.9 °F,87.0 °F,70.0 °F,65%,29.95 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,80.1 °F,83.8 °F,72.0 °F,76%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:53 AM,81.0 °F,84.9 °F,71.1 °F,72%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:53 AM,80.1 °F,83.8 °F,72.0 °F,76%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 AM,80.1 °F,83.8 °F,72.0 °F,76%,29.95 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,79.0 °F,  -,73.9 °F,84%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:53 AM,77.0 °F,  -,73.0 °F,88%,29.94 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,82.0 °F,88.6 °F,75.0 °F,79%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:53 AM,86.0 °F,93.8 °F,73.9 °F,67%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:53 AM,89.1 °F,97.0 °F,73.0 °F,59%,29.97 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,91.0 °F,98.2 °F,72.0 °F,53%,29.97 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,91.9 °F,100.7 °F,73.0 °F,54%,29.95 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,91.9 °F,98.4 °F,71.1 °F,50%,29.94 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,95.0 °F,102.5 °F,71.1 °F,46%,29.92 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,96.1 °F,104.9 °F,72.0 °F,46%,29.90 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,97.0 °F,105.5 °F,72.0 °F,44%,29.87 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,96.1 °F,105.6 °F,73.0 °F,47%,29.86 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,91.9 °F,100.7 °F,73.0 °F,54%,29.85 in,10.0 mi,ESE,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
6:53 PM,91.9 °F,100.7 °F,73.0 °F,54%,29.85 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,89.1 °F,98.0 °F,73.9 °F,61%,29.85 in,10.0 mi,SE,13.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,87.1 °F,95.4 °F,73.9 °F,65%,29.86 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,84.9 °F,92.1 °F,73.9 °F,69%,29.88 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,82.9 °F,89.4 °F,73.9 °F,74%,29.89 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,82.9 °F,89.4 °F,73.9 °F,74%,29.90 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
