Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,82.0 °F,87.9 °F,73.9 °F,76%,29.91 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,81.0 °F,86.2 °F,73.9 °F,79%,29.91 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.91 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.90 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:53 AM,78.1 °F,  -,73.9 °F,87%,29.91 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,78.1 °F,  -,73.0 °F,84%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:53 AM,81.0 °F,87.3 °F,75.9 °F,85%,29.94 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,84.0 °F,92.6 °F,75.9 °F,76%,29.95 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,86.0 °F,95.1 °F,75.0 °F,70%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:53 AM,89.1 °F,97.0 °F,73.0 °F,59%,29.94 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,90.0 °F,96.9 °F,72.0 °F,55%,29.94 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,91.9 °F,98.4 °F,71.1 °F,50%,29.93 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,93.9 °F,100.8 °F,71.1 °F,47%,29.92 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,93.9 °F,100.3 °F,70.0 °F,46%,29.90 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,95.0 °F,103.2 °F,72.0 °F,47%,29.88 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,93.9 °F,102.1 °F,72.0 °F,49%,29.88 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,93.9 °F,102.1 °F,72.0 °F,49%,29.88 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,93.9 °F,100.8 °F,71.1 °F,47%,29.87 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.88 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,89.1 °F,93.7 °F,69.1 °F,52%,29.88 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,88.0 °F,93.8 °F,71.1 °F,57%,29.89 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Clear
10:53 PM,84.9 °F,90.7 °F,72.0 °F,65%,29.90 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,84.0 °F,90.2 °F,73.0 °F,69%,29.91 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Clear
