Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,87.1 °F,88.9 °F,64.9 °F,48%,29.81 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,87.1 °F,88.3 °F,64.0 °F,46%,29.80 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,84.9 °F,86.6 °F,64.9 °F,51%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:53 AM,82.0 °F,84.5 °F,66.9 °F,60%,29.81 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,84.0 °F,85.8 °F,64.9 °F,53%,29.82 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:53 AM,82.0 °F,83.8 °F,64.9 °F,56%,29.83 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,82.0 °F,84.1 °F,66.0 °F,58%,29.85 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,82.9 °F,87.0 °F,70.0 °F,65%,29.86 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,88.0 °F,92.1 °F,69.1 °F,53%,29.88 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,90.0 °F,96.4 °F,71.1 °F,54%,29.88 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,91.9 °F,98.4 °F,71.1 °F,50%,29.88 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,93.9 °F,100.8 °F,71.1 °F,47%,29.88 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,96.1 °F,102.9 °F,70.0 °F,43%,29.88 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,97.0 °F,107.0 °F,73.0 °F,46%,29.87 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,98.1 °F,111.2 °F,75.0 °F,48%,29.86 in,10.0 mi,NE,5.8 mph,19.6 mph,N/A,	 ,Mostly Cloudy
3:53 PM,96.1 °F,109.4 °F,75.9 °F,52%,29.86 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,97.0 °F,109.3 °F,75.0 °F,49%,29.85 in,10.0 mi,ENE,16.1 mph,20.7 mph,N/A,	 ,Mostly Cloudy
5:53 PM,93.9 °F,104.0 °F,73.9 °F,52%,29.84 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,95.0 °F,105.2 °F,73.9 °F,50%,29.83 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,91.9 °F,99.5 °F,72.0 °F,52%,29.84 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,90.0 °F,95.4 °F,70.0 °F,52%,29.87 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,87.1 °F,92.0 °F,70.0 °F,57%,29.90 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,86.0 °F,95.1 °F,75.0 °F,70%,29.92 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,86.0 °F,93.8 °F,73.9 °F,67%,29.91 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
