Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,84.0 °F,89.6 °F,72.0 °F,67%,29.91 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,84.0 °F,90.2 °F,73.0 °F,69%,29.91 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:01 AM,82.9 °F,86.5 °F,69.1 °F,63%,29.98 in,10.0 mi,NW,33.4 mph,44.9 mph,N/A,	 ,Squalls
2:10 AM,79.0 °F,  -,64.0 °F,60%,29.98 in,10.0 mi,NNW,34.5 mph,47.2 mph,0.00 in,"Rain
	,
Thunderstorm",Light Rain
2:15 AM,77.0 °F,  -,64.9 °F,66%,29.99 in,10.0 mi,NNW,35.7 mph,46.0 mph,0.00 in,Thunderstorm,Thunderstorm
2:40 AM,70.0 °F,  -,68.0 °F,93%,29.99 in,2.0 mi,North,23.0 mph,36.8 mph,0.04 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
2:44 AM,70.0 °F,  -,68.0 °F,93%,29.99 in,1.5 mi,North,20.7 mph,35.7 mph,0.09 in,"Rain
	,
Thunderstorm",Heavy Thunderstorms and Rain
2:53 AM,70.0 °F,  -,68.0 °F,93%,29.96 in,3.0 mi,NNW,17.3 mph,28.8 mph,0.16 in,"Rain
	,
Thunderstorm",Thunderstorms and Rain
3:53 AM,71.1 °F,  -,68.0 °F,90%,29.94 in,8.0 mi,ESE,4.6 mph,  -,0.13 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
4:53 AM,71.1 °F,  -,68.0 °F,90%,29.86 in,10.0 mi,SSE,17.3 mph,  -,0.03 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
5:43 AM,71.1 °F,  -,68.0 °F,90%,29.92 in,10.0 mi,South,15.0 mph,  -,0.01 in,Rain,Light Rain
5:53 AM,71.1 °F,  -,68.0 °F,90%,29.89 in,10.0 mi,South,17.3 mph,  -,0.01 in,Rain,Light Rain
6:53 AM,72.0 °F,  -,69.1 °F,91%,29.90 in,10.0 mi,South,10.4 mph,  -,0.00 in,	 ,Overcast
7:53 AM,73.0 °F,  -,69.1 °F,87%,29.97 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,73.9 °F,  -,70.0 °F,87%,29.98 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,77.0 °F,  -,71.1 °F,82%,29.98 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,81.0 °F,84.9 °F,71.1 °F,72%,29.97 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,84.0 °F,89.0 °F,71.1 °F,65%,29.96 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,89.1 °F,96.0 °F,72.0 °F,57%,29.94 in,10.0 mi,SSW,19.6 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,90.0 °F,96.9 °F,72.0 °F,55%,29.94 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,91.0 °F,100.4 °F,73.9 °F,57%,29.94 in,10.0 mi,SSW,10.4 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:53 PM,91.9 °F,103.2 °F,75.0 °F,58%,29.92 in,10.0 mi,South,8.1 mph,20.7 mph,N/A,	 ,Mostly Cloudy
4:53 PM,91.9 °F,103.2 °F,75.0 °F,58%,29.90 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,93.0 °F,104.6 °F,75.0 °F,56%,29.88 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,93.0 °F,105.3 °F,75.9 °F,57%,29.86 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,91.0 °F,101.6 °F,75.0 °F,59%,29.88 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,88.0 °F,98.5 °F,75.9 °F,67%,29.88 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,86.0 °F,96.9 °F,77.0 °F,74%,29.89 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,86.0 °F,96.9 °F,77.0 °F,74%,29.90 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,84.9 °F,95.3 °F,77.0 °F,77%,29.92 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
