Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,75.0 °F,  -,72.0 °F,90%,29.92 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Overcast
1:53 AM,75.0 °F,  -,73.0 °F,94%,29.92 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
2:53 AM,75.0 °F,  -,73.0 °F,94%,29.91 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,75.0 °F,  -,73.0 °F,94%,29.91 in,7.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,73.9 °F,  -,73.0 °F,97%,29.91 in,7.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,73.9 °F,  -,73.0 °F,97%,29.91 in,6.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:24 AM,73.9 °F,  -,72.0 °F,93%,29.93 in,6.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,73.9 °F,  -,73.0 °F,97%,29.91 in,6.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
7:53 AM,75.0 °F,  -,73.0 °F,94%,29.91 in,6.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
8:53 AM,75.9 °F,  -,73.0 °F,91%,29.92 in,7.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
9:53 AM,78.1 °F,  -,73.9 °F,87%,29.94 in,9.0 mi,NE,9.2 mph,  -,N/A,	 ,Overcast
10:28 AM,79.0 °F,  -,73.0 °F,82%,29.97 in,9.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
10:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.95 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Overcast
11:18 AM,81.0 °F,85.8 °F,73.0 °F,77%,29.97 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
11:53 AM,82.9 °F,88.0 °F,72.0 °F,69%,29.94 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Overcast
12:53 PM,82.9 °F,87.0 °F,70.0 °F,65%,29.92 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Overcast
1:53 PM,84.9 °F,90.1 °F,71.1 °F,63%,29.90 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,86.0 °F,91.5 °F,71.1 °F,61%,29.89 in,10.0 mi,NNE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,86.0 °F,90.7 °F,70.0 °F,59%,29.86 in,10.0 mi,NNE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,87.1 °F,91.3 °F,69.1 °F,55%,29.86 in,10.0 mi,North,18.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,86.0 °F,90.1 °F,69.1 °F,57%,29.86 in,10.0 mi,NNE,18.4 mph,  -,N/A,	 ,Mostly Cloudy
6:22 PM,82.9 °F,87.5 °F,71.1 °F,67%,29.89 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,82.9 °F,87.0 °F,70.0 °F,65%,29.86 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,81.0 °F,84.9 °F,71.1 °F,72%,29.88 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,80.1 °F,82.9 °F,69.1 °F,69%,29.89 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,78.1 °F,  -,70.0 °F,76%,29.91 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,75.9 °F,  -,69.1 °F,79%,29.92 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,75.0 °F,  -,69.1 °F,82%,29.91 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
